Numero,Nom_intervenants,Date_seances,Num_page,Titre,Texte,Thème
1,Mme la présidente.,29 novembre 2022,7069,,,
2,Mme la présidente.,29 novembre 2022,7069,PROCÈS-VERBAL,,
3,Mme la présidente.,29 novembre 2022,7069,QUESTIONS ORALES,,
4,Mme la présidente.,29 novembre 2022,7069,QUESTIONS ORALES,,
5,Mme Agnès Canayer.,29 novembre 2022,7069,QUESTIONS ORALES,,
6,Mme la présidente.,29 novembre 2022,7069,QUESTIONS ORALES,,
7,"M. Hervé Berville,",29 novembre 2022,7069,QUESTIONS ORALES,,
8,M. Bruno Sido.,29 novembre 2022,7070,QUESTIONS ORALES,,
9,Mme la présidente.,29 novembre 2022,7070,QUESTIONS ORALES,,
10,Mme Catherine Belrhiti.,29 novembre 2022,7070,QUESTIONS ORALES,,
11,Mme la présidente.,29 novembre 2022,7070,QUESTIONS ORALES,,
12,"M. Hervé Berville,",29 novembre 2022,7070,QUESTIONS ORALES,,
13,Mme la présidente.,29 novembre 2022,7070,QUESTIONS ORALES,,
14,Mme Catherine Belrhiti.,29 novembre 2022,7070,QUESTIONS ORALES,,
15,Mme la présidente.,29 novembre 2022,7070,QUESTIONS ORALES,,
16,M. Denis Bouad.,29 novembre 2022,7070,QUESTIONS ORALES,,
17,Mme la présidente.,29 novembre 2022,7071,QUESTIONS ORALES,,
18,"M. Hervé Berville,",29 novembre 2022,7071,QUESTIONS ORALES,,
19,Mme la présidente.,29 novembre 2022,7071,QUESTIONS ORALES,,
20,M. Denis Bouad.,29 novembre 2022,7071,QUESTIONS ORALES,,
21,Mme la présidente.,29 novembre 2022,7071,QUESTIONS ORALES,,
22,M. Bruno Sido.,29 novembre 2022,7071,QUESTIONS ORALES,,
23,Mme la présidente.,29 novembre 2022,7072,QUESTIONS ORALES,,
24,"Mme Dominique Faure,",29 novembre 2022,7072,QUESTIONS ORALES,,
25,Mme la présidente.,29 novembre 2022,7072,QUESTIONS ORALES,,
26,Mme Patricia Schillinger.,29 novembre 2022,7072,QUESTIONS ORALES,,
27,Mme la présidente.,29 novembre 2022,7072,QUESTIONS ORALES,,
28,"Mme Dominique Faure,",29 novembre 2022,7072,QUESTIONS ORALES,,
29,Mme la présidente.,29 novembre 2022,7073,QUESTIONS ORALES,,
30,M. Éric Gold.,29 novembre 2022,7073,QUESTIONS ORALES,,
31,Mme la présidente.,29 novembre 2022,7073,QUESTIONS ORALES,,
32,"Mme Dominique Faure,",29 novembre 2022,7073,QUESTIONS ORALES,,
33,Mme la présidente.,29 novembre 2022,7073,QUESTIONS ORALES,,
34,M. Yannick Vaugrenard.,29 novembre 2022,7073,QUESTIONS ORALES,,
35,Mme la présidente.,29 novembre 2022,7074,QUESTIONS ORALES,,
36,"Mme Dominique Faure,",29 novembre 2022,7074,QUESTIONS ORALES,,
37,Mme la présidente.,29 novembre 2022,7074,QUESTIONS ORALES,,
38,Mme Nicole Duranton.,29 novembre 2022,7074,QUESTIONS ORALES,,
39,Mme la présidente.,29 novembre 2022,7074,QUESTIONS ORALES,,
40,"Mme Dominique Faure,",29 novembre 2022,7075,QUESTIONS ORALES,,
41,Mme la présidente.,29 novembre 2022,7075,QUESTIONS ORALES,,
42,Mme Gisèle Jourda.,29 novembre 2022,7075,QUESTIONS ORALES,,
43,Mme la présidente.,29 novembre 2022,7075,QUESTIONS ORALES,,
44,"Mme Dominique Faure,",29 novembre 2022,7075,QUESTIONS ORALES,,
45,Mme la présidente.,29 novembre 2022,7076,QUESTIONS ORALES,,
46,Mme Gisèle Jourda.,29 novembre 2022,7076,QUESTIONS ORALES,,
47,Mme la présidente.,29 novembre 2022,7076,QUESTIONS ORALES,,
48,M. Laurent Lafon.,29 novembre 2022,7076,QUESTIONS ORALES,,
49,Mme la présidente.,29 novembre 2022,7076,QUESTIONS ORALES,,
50,"Mme Dominique Faure,",29 novembre 2022,7076,QUESTIONS ORALES,,
51,Mme la présidente.,29 novembre 2022,7076,QUESTIONS ORALES,,
52,M. Laurent Lafon.,29 novembre 2022,7076,QUESTIONS ORALES,,
53,Mme la présidente.,29 novembre 2022,7077,QUESTIONS ORALES,,
54,M. Thierry Cozic.,29 novembre 2022,7077,QUESTIONS ORALES,,
55,Mme la présidente.,29 novembre 2022,7077,QUESTIONS ORALES,,
56,"Mme Dominique Faure,",29 novembre 2022,7077,QUESTIONS ORALES,,
57,Mme la présidente.,29 novembre 2022,7077,QUESTIONS ORALES,,
58,M. Thierry Cozic.,29 novembre 2022,7077,QUESTIONS ORALES,,
59,"Mme Dominique Faure,",29 novembre 2022,7077,QUESTIONS ORALES,,
60,Mme la présidente.,29 novembre 2022,7077,QUESTIONS ORALES,,
61,Mme Pascale Gruny.,29 novembre 2022,7077,QUESTIONS ORALES,,
62,Mme la présidente.,29 novembre 2022,7078,QUESTIONS ORALES,,
63,"Mme Dominique Faure,",29 novembre 2022,7078,QUESTIONS ORALES,,
64,Mme la présidente.,29 novembre 2022,7078,QUESTIONS ORALES,,
65,Mme Pascale Gruny.,29 novembre 2022,7078,QUESTIONS ORALES,,
66,Mme la présidente.,29 novembre 2022,7078,QUESTIONS ORALES,,
