Date_seances,Num_page,Titre,Texte,Thème
11 janvier 2022,237.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,,
11 janvier 2022,281.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,283.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,287.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,299.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
12 janvier 2022,349.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
12 janvier 2022,357.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
12 janvier 2022,378.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
15 janvier 2022,472.0,GESTION DE LA CRISE SANITAIRE,,ADOPTION EN NOUVELLE LECTURE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
15 janvier 2022,485.0,GESTION DE LA CRISE SANITAIRE,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
15 janvier 2022,490.0,GESTION DE LA CRISE SANITAIRE,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
15 janvier 2022,492.0,GESTION DE LA CRISE SANITAIRE,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
01 février 2022,1228.0,DÉBAT SUR LE SUIVI DES ORDONNANCES,,
09 février 2022,1612.0,"DIFFÉRENCIATION, DÉCENTRALISATION, DÉCONCENTRATION ET SIMPLIFICATION",Article 86,"PROJET DE LOI RELATIF À LA DIFFÉRENCIATION, LA DÉCENTRALISATION, LA DÉCONCENTRATION ET PORTANT DIVERSES MESURES DE SIMPLIFICATION DE L’ACTION PUBLIQUE LOCALE TITRE IER"
23 février 2022,2043.0,ENGAGEMENT DE LA FRANCE AU SAHEL,,
24 février 2022,2118.0,SITUATION EN UKRAINE,,
25 février 2022,2197.0,PROCÈS-VERBAL,,PROPOSITION DE LOI VISANT À AMÉLIORER LES CONDITIONS SANITAIRES D’ORGANISATION DES ÉLECTIONS LÉGISLATIVES DANS LE CONTEXTE LIÉ À L’ÉPIDÉMIE DE
13 juillet 2022,2345.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
20 juillet 2022,2435.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
20 juillet 2022,2446.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,Article 1er,PROJET DE LOI METTANT FIN AUX RÉGIMES D’EXCEPTION CRÉÉS POUR LUTTER CONTRE L’ÉPIDÉMIE LIÉE À LA COVID
20 juillet 2022,2454.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,Article 2,PROJET DE LOI METTANT FIN AUX RÉGIMES D’EXCEPTION CRÉÉS POUR LUTTER CONTRE L’ÉPIDÉMIE LIÉE À LA COVID
20 juillet 2022,2455.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,Article 2,PROJET DE LOI METTANT FIN AUX RÉGIMES D’EXCEPTION CRÉÉS POUR LUTTER CONTRE L’ÉPIDÉMIE LIÉE À LA COVID
20 juillet 2022,2465.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,Article 2  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
20 juillet 2022,2492.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,Après l’article 3,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
26 juillet 2022,2541.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,Article 3,PROJET DE LOI METTANT FIN AUX RÉGIMES D’EXCEPTION CRÉÉS POUR LUTTER CONTRE L’ÉPIDÉMIE LIÉE À LA COVID
04 août 2022,3375.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,,ADOPTION DÉFINITIVE DES CONCLUSIONS D’UNE COMMISSION MIXTE PARITAIRE SUR UN PROJET DE LOI
04 août 2022,3405.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 15,PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
04 août 2022,3406.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 15,PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
04 octobre 2022,3429.0,ÉTATS GÉNÉRAUX DE LA JUSTICE Débat organisé à la demande du groupe  Les Républicains,,
11 octobre 2022,3632.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,,
11 octobre 2022,3646.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,,
11 octobre 2022,3686.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,OBJECTIFS ET MOYENS  DU MINISTÈRE DE L’INTÉRIEUR Article 1er,PROJET DE LOI D’ORIENTATION ET DE PROGRAMMATION DU MINISTÈRE DE L’INTÉRIEUR TITRE IER
12 octobre 2022,3784.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,OBJECTIFS ET MOYENS  DU MINISTÈRE DE L’INTÉRIEUR Article 1er  (suite),
12 octobre 2022,3823.0,POLITIQUE ÉNERGÉTIQUE DE LA FRANCE Déclaration du Gouvernement suivie d’un débat,Article 6,
13 octobre 2022,3881.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,Article 10,
13 octobre 2022,3894.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,Article 14,
13 octobre 2022,3895.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,Article 14,
18 octobre 2022,3924.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
19 octobre 2022,4039.0,MISES AU POINT AU SUJET DE VOTES,,
25 octobre 2022,4268.0,FONCTIONNEMENT DU MARCHÉ DU TRAVAIL  EN VUE DU PLEIN EMPLOI,Après l’article 3,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
25 octobre 2022,4276.0,FONCTIONNEMENT DU MARCHÉ DU TRAVAIL  EN VUE DU PLEIN EMPLOI,Article 5,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
21 novembre 2022,6138.0,LOI DE FINANCES POUR 2023,Après l’article 5  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6431.0,LOI DE FINANCES POUR 2023,Après l’article 11 quinquies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6432.0,LOI DE FINANCES POUR 2023,Après l’article 11 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6785.0,LOI DE FINANCES POUR 2023,Article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 novembre 2022,4369.0,PROGRAMMATION  DES FINANCES PUBLIQUES  POUR LES ANNÉES 2023 À 2027,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
09 novembre 2022,5066.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
13 décembre 2022,8363.0,POLITIQUE DE L’IMMIGRATION,Article 25,"PROJET DE LOI PORTANT DIVERSES DISPOSITIONS D’ADAPTATION AU DROIT DE L’UNION EUROPÉENNE DANS LES DOMAINES DE L’ÉCONOMIE, DE LA SANTÉ, DU TRAVAIL, DES TRANSPORTS ET DE L’AGRICULTURE"
14 décembre 2022,8452.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,Articles 18 et 19 (Supprimés),PROJET DE LOI D’ORIENTATION ET DE PROGRAMMATION DU MINISTÈRE DE L’INTÉRIEUR TITRE IER
15 décembre 2022,8472.0,LOI DE FINANCES POUR 2023,,REJET EN NOUVELLE LECTURE D’UN PROJET DE LOI
15 décembre 2022,8478.0,LOI DE FINANCES POUR 2023,,REJET EN NOUVELLE LECTURE D’UN PROJET DE LOI
