Date_seances,Num_page,Titre,Texte,Thème
09 février 2022,1636.0,CONTRÔLE PARENTAL SUR INTERNET,Article 1er bis (Non modifié),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
09 février 2022,1637.0,CONTRÔLE PARENTAL SUR INTERNET,Article 1er bis (Non modifié),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
09 février 2022,1645.0,CONTRÔLE PARENTAL SUR INTERNET,Article 1er,PROPOSITION DE LOI VISANT À ENCOURAGER L’USAGE DU CONTRÔLE PARENTAL SUR CERTAINS ÉQUIPEMENTS ET SERVICES VENDUS EN FRANCE ET PERMETTANT D’ACCÉDER À INTERNET
15 février 2022,1692.0,QUESTIONS ORALES,,
23 février 2022,2029.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
24 février 2022,2160.0,CERTIFICATION DE CYBERSÉCURITÉ DES PLATEFORMES NUMÉRIQUES Adoption définitive en deuxième lecture d’une proposi-tion de loi dans le texte de la commission,Article unique (Non modifié),PROPOSITION DE LOI RELATIVE AU MONDE COMBATTANT
24 février 2022,2181.0,CONTRÔLE PARENTAL SUR INTERNET Adoption définitive des conclusions d’une commission mixte paritaire sur une proposition de loi,Article 3 bis,PROPOSITION DE LOI VISANT À RENFORCER LE CONTRÔLE PARENTAL SUR LES MOYENS D’ACCÈS À INTERNET
13 juillet 2022,2346.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
13 juillet 2022,2347.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
28 juillet 2022,2591.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
05 octobre 2022,3543.0,CINQ PLANS POUR RECONSTRUIRE  LA SOUVERAINETÉ ÉCONOMIQUE Débat sur les conclusions d’un rapport d’information  de la commission des affaires économiques,Articles 1er et 2 (supprimés) Article 3,PROPOSITION DE LOI VISANT À ACTUALISER LE RÉGIME DE RÉÉLECTION DES JUGES CONSULAIRES DANS LES TRIBUNAUX DE COMMERCE
26 octobre 2022,4291.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
30 novembre 2022,7407.0,LOI DE FINANCES POUR 2023,Après l’article 46,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
