Date_seances,Num_page,Titre,Texte,Thème
10 janvier 2022,211.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 2,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
11 janvier 2022,241.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,,
26 janvier 2022,1069.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 9,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
19 octobre 2022,4028.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
19 octobre 2022,4032.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
19 octobre 2022,4033.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
22 novembre 2022,6350.0,LOI DE FINANCES POUR 2023,Après l’article 9 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6352.0,LOI DE FINANCES POUR 2023,Après l’article 9 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6483.0,LOI DE FINANCES POUR 2023,Après l’article 11 octies  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
03 novembre 2022,4506.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er A  (nouveau) (suite),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
