Date_seances,Num_page,Titre,Texte,Thème
22 février 2022,1960.0,BILAN DE LA POLITIQUE  ÉDUCATIVE FRANÇAISE,Article 9 (Non modifié),PROPOSITION DE LOI VISANT À MODERNISER LA RÉGULATION DU MARCHÉ DE L’ART
05 octobre 2022,3517.0,PLACE DES OUTRE-MER  DANS LA STRATÉGIE MARITIME NATIONALE Débat organisé à la demande  de la délégation sénatoriale aux outre-mer,,
05 octobre 2022,3527.0,PLACE DES OUTRE-MER  DANS LA STRATÉGIE MARITIME NATIONALE Débat organisé à la demande  de la délégation sénatoriale aux outre-mer,,
06 octobre 2022,3616.0,"QUELLE PLACE DONNER AUX ACTEURS  DU MÉDICO-SOCIAL DANS  L’ORGANISATION DES SOINS  DE DEMAIN SUR NOS TERRITOIRES ? Débat organisé à la demande du groupe  Rassemblement des démocrates,  progressistes et indépendants",,
18 novembre 2022,5816.0,LOI DE FINANCES POUR 2023,Après l’article 3 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5818.0,LOI DE FINANCES POUR 2023,Après l’article 3 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5828.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5852.0,LOI DE FINANCES POUR 2023,Article 3 decies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6076.0,LOI DE FINANCES POUR 2023,DISPOSITIONS RELATIVES AUX RESSOURCES Article 5,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6087.0,LOI DE FINANCES POUR 2023,DISPOSITIONS RELATIVES AUX RESSOURCES Article 5,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7470.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7476.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7480.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
07 décembre 2022,8132.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
