Date_seances,Num_page,Titre,Texte,Thème
10 janvier 2022,209.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 2,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
10 janvier 2022,216.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 1er,PROPOSITION DE LOI VISANT À LIMITER L’ENGRILLAGEMENT DES ESPACES NATURELS ET À PROTÉGER LA PROPRIÉTÉ PRIVÉE
10 janvier 2022,217.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 1er,PROPOSITION DE LOI VISANT À LIMITER L’ENGRILLAGEMENT DES ESPACES NATURELS ET À PROTÉGER LA PROPRIÉTÉ PRIVÉE
10 janvier 2022,218.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 1er,PROPOSITION DE LOI VISANT À LIMITER L’ENGRILLAGEMENT DES ESPACES NATURELS ET À PROTÉGER LA PROPRIÉTÉ PRIVÉE
10 janvier 2022,221.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 1er bis (nouveau),PROPOSITION DE LOI VISANT À LIMITER L’ENGRILLAGEMENT DES ESPACES NATURELS ET À PROTÉGER LA PROPRIÉTÉ PRIVÉE
10 janvier 2022,222.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 1er bis (nouveau),PROPOSITION DE LOI VISANT À LIMITER L’ENGRILLAGEMENT DES ESPACES NATURELS ET À PROTÉGER LA PROPRIÉTÉ PRIVÉE
18 janvier 2022,543.0,QUESTIONS ORALES,,
18 janvier 2022,544.0,QUESTIONS ORALES,,
25 janvier 2022,967.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
25 janvier 2022,968.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er bis,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
25 janvier 2022,981.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 3,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
25 janvier 2022,987.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 3,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
25 janvier 2022,989.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 4,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
