Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,48.0,MEILLEURE PRISE EN COMPTE DE LA QUALITÉ DE LA VIE ÉTUDIANTE,,
12 janvier 2022,336.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
13 janvier 2022,444.0,PORT DU CASQUE À VÉLO  ET DANS LE CADRE  D’AUTRES MOYENS DE TRANSPORT,,DISCUSSION ET RETRAIT D’UNE PROPOSITION DE LOI
18 janvier 2022,638.0,DÉMOCRATISATION DU SPORT,Article 6,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
19 janvier 2022,748.0,DÉMOCRATISATION DU SPORT,Article 11 bis B (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
01 février 2022,1245.0,MIEUX PROTÉGER  NOTRE PATRIMOINE SCIENTIFIQUE  ET NOS LIBERTÉS ACADÉMIQUES,,
15 février 2022,1745.0,RESTITUTION OU REMISE  DE BIENS CULTURELS AUX AYANTS DROIT  DE LEURS PROPRIÉTAIRES VICTIMES  DE PERSÉCUTIONS ANTISÉMITES,Article 4,ADOPTION DÉFINITIVE EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
15 février 2022,1746.0,RESTITUTION OU REMISE  DE BIENS CULTURELS AUX AYANTS DROIT  DE LEURS PROPRIÉTAIRES VICTIMES  DE PERSÉCUTIONS ANTISÉMITES,Article 4,ADOPTION DÉFINITIVE EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
15 février 2022,1757.0,RESTITUTION OU REMISE  DE BIENS CULTURELS AUX AYANTS DROIT  DE LEURS PROPRIÉTAIRES VICTIMES  DE PERSÉCUTIONS ANTISÉMITES,Article 4 (Non modifié),PROJET DE LOI RELATIF À LA RESTITUTION OU LA REMISE DE CERTAINS BIENS CULTURELS AUX AYANTS DROIT DE LEURS PROPRIÉTAIRES VICTIMES DE PERSÉCUTIONS ANTISÉMITES
16 février 2022,1813.0,DÉMOCRATISATION DU SPORT,Article 3,REJET EN NOUVELLE LECTURE D’UNE PROPOSITION DE LOI
22 février 2022,1970.0,BILAN DE LA POLITIQUE  ÉDUCATIVE FRANÇAISE,Article 9 (Non modifié),PROPOSITION DE LOI VISANT À MODERNISER LA RÉGULATION DU MARCHÉ DE L’ART
06 octobre 2022,3613.0,"QUELLE PLACE DONNER AUX ACTEURS  DU MÉDICO-SOCIAL DANS  L’ORGANISATION DES SOINS  DE DEMAIN SUR NOS TERRITOIRES ? Débat organisé à la demande du groupe  Rassemblement des démocrates,  progressistes et indépendants",,
06 octobre 2022,3614.0,"QUELLE PLACE DONNER AUX ACTEURS  DU MÉDICO-SOCIAL DANS  L’ORGANISATION DES SOINS  DE DEMAIN SUR NOS TERRITOIRES ? Débat organisé à la demande du groupe  Rassemblement des démocrates,  progressistes et indépendants",,
14 novembre 2022,5403.0,ENSEIGNEMENT PROFESSIONNEL,,
21 novembre 2022,6117.0,LOI DE FINANCES POUR 2023,Après l’article 5,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6152.0,LOI DE FINANCES POUR 2023,Article 6,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6153.0,LOI DE FINANCES POUR 2023,Article 6,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6170.0,LOI DE FINANCES POUR 2023,Article 7,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6175.0,LOI DE FINANCES POUR 2023,Article 7,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6186.0,LOI DE FINANCES POUR 2023,Article 7  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6193.0,LOI DE FINANCES POUR 2023,Après l’article 7,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6375.0,LOI DE FINANCES POUR 2023,Après l’article 9 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
24 novembre 2022,6614.0,LOI DE FINANCES POUR 2023,Après l’article 18,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
09 novembre 2022,5126.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 22,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
09 novembre 2022,5157.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 24,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
09 novembre 2022,5158.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 24,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7510.0,LOI DE FINANCES POUR 2023,Article 44 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
14 décembre 2022,8396.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
14 décembre 2022,8397.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
