Date_seances,Num_page,Titre,Texte,Thème
12 janvier 2022,360.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
12 octobre 2022,3814.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,Après l’article 5,
13 octobre 2022,3877.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,Article 10,
13 octobre 2022,3906.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,DISPOSITIONS RELATIVES À L’OUTRE-MER Article 16,
13 octobre 2022,3907.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,DISPOSITIONS RELATIVES À L’OUTRE-MER Article 16,
18 novembre 2022,5815.0,LOI DE FINANCES POUR 2023,Article 3 septies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5817.0,LOI DE FINANCES POUR 2023,Après l’article 3 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5818.0,LOI DE FINANCES POUR 2023,Après l’article 3 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5819.0,LOI DE FINANCES POUR 2023,Après l’article 3 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5820.0,LOI DE FINANCES POUR 2023,Après l’article 3 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5821.0,LOI DE FINANCES POUR 2023,Après l’article 3 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5822.0,LOI DE FINANCES POUR 2023,Après l’article 3 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5827.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5828.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5842.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5844.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5845.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5846.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5849.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5852.0,LOI DE FINANCES POUR 2023,Article 3 decies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5860.0,LOI DE FINANCES POUR 2023,Article 3 terdecies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6150.0,LOI DE FINANCES POUR 2023,Après l’article 5 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6151.0,LOI DE FINANCES POUR 2023,Après l’article 5 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6278.0,LOI DE FINANCES POUR 2023,(suite) Après l’article 8 ter  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6280.0,LOI DE FINANCES POUR 2023,(suite) Après l’article 8 ter  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6550.0,LOI DE FINANCES POUR 2023,Article 14 ter  (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6553.0,LOI DE FINANCES POUR 2023,Article 14 ter  (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7468.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7475.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7480.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7481.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7484.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7485.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7486.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7488.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7489.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7494.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7499.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7625.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7626.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
