Date_seances,Num_page,Titre,Texte,Thème
24 février 2022,2122.0,DÉPÔT DU RAPPORT PUBLIC ANNUEL DE LA COUR DES COMPTES SUIVI D’UN DÉBAT,,
24 février 2022,2123.0,DÉPÔT DU RAPPORT PUBLIC ANNUEL DE LA COUR DES COMPTES SUIVI D’UN DÉBAT,,
06 juillet 2022,2274.0,DÉCLARATION DU GOUVERNEMENT SUIVIE D’UN DÉBAT,,
01 août 2022,2852.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,,DISCUSSION D’UN PROJET DE LOI
01 août 2022,2853.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,,DISCUSSION D’UN PROJET DE LOI
01 août 2022,2857.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,,DISCUSSION D’UN PROJET DE LOI
01 août 2022,2859.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,,DISCUSSION D’UN PROJET DE LOI
01 août 2022,2883.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,DISPOSITIONS RELATIVES AUX RESSOURCES Avant l’article 1er A,PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
01 août 2022,2916.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er E (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2957.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 2 (Supprimé) Après l’article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 août 2022,3012.0,RÈGLEMENT DU BUDGET  ET APPROBATION DES COMPTES  DE L’ANNÉE 2021,,PROJET DE LOI DE RÈGLEMENT DU BUDGET ET D’APPROBATION DES COMPTES DE L’ANNÉE
02 août 2022,3038.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 8,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3058.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 3  (Supprimé) Après l’article 3,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3064.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 3  (Supprimé) Après l’article 3,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3074.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Après l’article 3 bis,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3105.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 4 quater (nouveau),SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3175.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3264.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Après l’article 10 duodecies,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3287.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,DISPOSITIONS RELATIVES À L’ÉQUILIBRE DES RESSOURCES ET DES CHARGES Article 5,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
03 août 2022,3321.0,PROJET DE PROGRAMME DE STABILITÉ POUR 2022-2027,Article 23,SUITE DE LA DISCUSSION ET ADOPTION DES CONCLUSIONS D’UNE COMMISSION MIXTE PARITAIRE SUR UN PROJET DE LOI
03 août 2022,3323.0,PROJET DE PROGRAMME DE STABILITÉ POUR 2022-2027,Article 23,SUITE DE LA DISCUSSION ET ADOPTION DES CONCLUSIONS D’UNE COMMISSION MIXTE PARITAIRE SUR UN PROJET DE LOI
03 août 2022,3336.0,PROJET DE PROGRAMME DE STABILITÉ POUR 2022-2027,Article 23,SUITE DE LA DISCUSSION ET ADOPTION DES CONCLUSIONS D’UNE COMMISSION MIXTE PARITAIRE SUR UN PROJET DE LOI
03 août 2022,3337.0,PROJET DE PROGRAMME DE STABILITÉ POUR 2022-2027,Article 23,SUITE DE LA DISCUSSION ET ADOPTION DES CONCLUSIONS D’UNE COMMISSION MIXTE PARITAIRE SUR UN PROJET DE LOI
04 août 2022,3373.0,REJET DU PROJET DE LOI DE RÈGLEMENT DU BUDGET ET D’APPROBATION  DES COMPTES DE L’ANNÉE 2021,,
02 novembre 2022,4363.0,PROGRAMMATION  DES FINANCES PUBLIQUES  POUR LES ANNÉES 2023 À 2027,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
