Date_seances,Num_page,Titre,Texte,Thème
05 janvier 2022,135.0,OUBLIÉS DU SÉGUR DE LA SANTÉ ET INVESTISSEMENTS LIÉS AU SÉGUR À L’HÔPITAL,,
12 janvier 2022,319.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
12 janvier 2022,320.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
12 janvier 2022,358.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
12 janvier 2022,359.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
12 janvier 2022,380.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
26 janvier 2022,1029.0,DIALOGUE SOCIAL  AVEC LES PLATEFORMES,Article 3 (Supprimé),PROJET DE LOI RATIFIANT L’ORDONNANCE
02 février 2022,1283.0,CARACTÈRE UNIVERSEL  DES ALLOCATIONS FAMILIALES Adoption d’une proposition de loi  dans le texte de la commission,,
03 février 2022,1335.0,QUELLE RÉGLEMENTATION POUR LES PRODUITS ISSUS DU CHANVRE ? Débat organisé à la demande du groupe Écologiste - Solidarité et Territoires,,
20 juillet 2022,2479.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,Article 2 bis (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
20 juillet 2022,2480.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,Article 2 bis (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
28 juillet 2022,2702.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 6,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
28 juillet 2022,2706.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 6,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
29 juillet 2022,2801.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Après l’article 15 ter,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
29 juillet 2022,2834.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Après l’article 22,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
02 août 2022,2988.0,QUESTIONS ORALES,,
02 août 2022,3079.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Après l’article 4 bis,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3093.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 4 ter (nouveau),SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
05 octobre 2022,3522.0,PLACE DES OUTRE-MER  DANS LA STRATÉGIE MARITIME NATIONALE Débat organisé à la demande  de la délégation sénatoriale aux outre-mer,,
05 octobre 2022,3535.0,RÉGIME DE RÉÉLECTION  DES JUGES CONSULAIRES  DANS LES TRIBUNAUX DE COMMERCE Adoption en procédure accélérée d’une proposition de loi  dans le texte de la commission,,
06 octobre 2022,3608.0,"QUELLE PLACE DONNER AUX ACTEURS  DU MÉDICO-SOCIAL DANS  L’ORGANISATION DES SOINS  DE DEMAIN SUR NOS TERRITOIRES ? Débat organisé à la demande du groupe  Rassemblement des démocrates,  progressistes et indépendants",,
12 octobre 2022,3816.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,Article 6,
13 octobre 2022,3848.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,Article 7,
13 octobre 2022,3907.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,DISPOSITIONS RELATIVES À L’OUTRE-MER Article 16,
19 octobre 2022,4052.0,DROIT FONDAMENTAL À L’IVG  ET À LA CONTRACEPTION,,REJET D’UNE PROPOSITION DE LOI CONSTITUTIONNELLE
18 novembre 2022,5820.0,LOI DE FINANCES POUR 2023,Après l’article 3 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5822.0,LOI DE FINANCES POUR 2023,Après l’article 3 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5824.0,LOI DE FINANCES POUR 2023,Article 3 nonies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5825.0,LOI DE FINANCES POUR 2023,Article 3 nonies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5828.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5845.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5847.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5848.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5849.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5852.0,LOI DE FINANCES POUR 2023,Article 3 decies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6150.0,LOI DE FINANCES POUR 2023,Après l’article 5 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6492.0,LOI DE FINANCES POUR 2023,Après l’article 11 nonies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
24 novembre 2022,6683.0,LOI DE FINANCES POUR 2023,Article liminaire,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6866.0,LOI DE FINANCES POUR 2023,Après l’article 44 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7181.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7186.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7466.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7480.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7484.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7491.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 décembre 2022,8195.0,CRÉATION DE DÉLÉGATIONS PARLEMENTAIRES  AUX DROITS DE L’ENFANT,Article 4 (Non modifié),REJET D’UNE PROPOSITION DE LOI
