Date_seances,Num_page,Titre,Texte,Thème
12 janvier 2022,328.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
12 janvier 2022,331.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
19 janvier 2022,671.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
19 janvier 2022,673.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
19 janvier 2022,675.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
22 novembre 2022,6265.0,LOI DE FINANCES POUR 2023,(suite) Après l’article 8 ter  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6270.0,LOI DE FINANCES POUR 2023,(suite) Après l’article 8 ter  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7449.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7453.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7454.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7455.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7456.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7458.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
