Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,11.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
25 janvier 2022,892.0,QUESTIONS ORALES,,
25 janvier 2022,928.0,AGENCES DE L’EAU,,
01 février 2022,1206.0,QUELLE POLITIQUE FERROVIAIRE  POUR ASSURER UN MAILLAGE ÉQUILIBRÉ  DU TERRITOIRE ?,,
15 février 2022,1679.0,QUESTIONS ORALES,,
25 octobre 2022,4188.0,QUESTIONS ORALES  (SUITE),,
23 novembre 2022,6442.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,Après l’article 11 octies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,7014.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
03 novembre 2022,4501.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,"MESURES VISANT À RENFORCER LA PLANIFICATION TERRITORIALE DU DÉVELOPPEMENT DES ÉNERGIES RENOUVELABLES, À AMÉLIORER LA CONCERTATION AUTOUR DE CES PROJETS ET À FAVORISER LA PARTICIPATION DES COLLECTIVITÉS TERRITORIALES  À LEUR IMPLANTATION  (Division nouvelle) Article 1er A  (nouveau)",PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4537.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er C  (nouveau) (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4550.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
04 novembre 2022,4635.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 11,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4649.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 11,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4665.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 11 quinquies  (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4666.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 11 quinquies  (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4669.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 11 quinquies  (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4695.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 12,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4698.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 12,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
02 décembre 2022,7641.0,LOI DE FINANCES POUR 2023,Après l’article 41 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7752.0,LOI DE FINANCES POUR 2023,Après l’article 41 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7779.0,LOI DE FINANCES POUR 2023,Après l’article 42 bis,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7787.0,LOI DE FINANCES POUR 2023,Article 42 ter (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7799.0,LOI DE FINANCES POUR 2023,Après l’article 42 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
13 décembre 2022,8308.0,ADAPTATION AU DROIT  DE L’UNION EUROPÉENNE  DANS DIVERS DOMAINES,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
13 décembre 2022,8336.0,ADAPTATION AU DROIT  DE L’UNION EUROPÉENNE  DANS DIVERS DOMAINES,Après l’article 13,"PROJET DE LOI PORTANT DIVERSES DISPOSITIONS D’ADAPTATION AU DROIT DE L’UNION EUROPÉENNE DANS LES DOMAINES DE L’ÉCONOMIE, DE LA SANTÉ, DU TRAVAIL, DES TRANSPORTS ET DE L’AGRICULTURE"
