Date_seances,Num_page,Titre,Texte,Thème
05 janvier 2022,89.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
12 janvier 2022,326.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
16 février 2022,1773.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,PROPOSITION DE LOI ORGANIQUE VISANT À RENFORCER LE RÔLE DU DÉFENSEUR DES DROITS EN MATIÈRE DE SIGNALEMENT D’ALERTE
19 juillet 2022,2364.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT L’APPROBATION DE L’ACCORD ENTRE LE GOUVERNEMENT DE LA RÉPUBLIQUE FRANÇAISE ET LE GOUVERNEMENT DE L’ÉTAT DU QATAR RELATIF AU STATUT DE LEURS FORCES
19 juillet 2022,2365.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT L’APPROBATION DE L’ACCORD ENTRE LE GOUVERNEMENT DE LA RÉPUBLIQUE FRANÇAISE ET LE GOUVERNEMENT DE L’ÉTAT DU QATAR RELATIF AU STATUT DE LEURS FORCES
19 juillet 2022,2366.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT L’APPROBATION DE L’ACCORD ENTRE LE GOUVERNEMENT DE LA RÉPUBLIQUE FRANÇAISE ET LE GOUVERNEMENT DE L’ÉTAT DU QATAR RELATIF AU STATUT DE LEURS FORCES
19 juillet 2022,2377.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT L’APPROBATION DE L’ACCORD ENTRE LE GOUVERNEMENT DE LA RÉPUBLIQUE FRANÇAISE ET LE GOUVERNEMENT DE L’ÉTAT DU QATAR RELATIF AU STATUT DE LEURS FORCES
19 juillet 2022,2378.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT L’APPROBATION DE L’ACCORD ENTRE LE GOUVERNEMENT DE LA RÉPUBLIQUE FRANÇAISE ET LE GOUVERNEMENT DE L’ÉTAT DU QATAR RELATIF AU STATUT DE LEURS FORCES
19 juillet 2022,2379.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI DE RÈGLEMENT DU BUDGET ET D’APPROBATION DES COMPTES DE L’ANNÉE
01 août 2022,2853.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,,DISCUSSION D’UN PROJET DE LOI
01 août 2022,2854.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,,DISCUSSION D’UN PROJET DE LOI
01 août 2022,2855.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,,DISCUSSION D’UN PROJET DE LOI
01 août 2022,2856.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,,DISCUSSION D’UN PROJET DE LOI
01 août 2022,2900.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 1er B (nouveau),PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
01 août 2022,2901.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 1er B (nouveau),PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
01 août 2022,2906.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er D (nouveau) (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2907.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er D (nouveau) (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2908.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Après l’article 1er D,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2909.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Après l’article 1er D,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2910.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er E (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2912.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er E (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2913.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er E (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2915.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er E (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2916.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er E (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2918.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er E (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2919.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Après l’article 1er G,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2921.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Après l’article 1er G,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2922.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Après l’article 1er G,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2927.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2928.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2929.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2930.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2936.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2939.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2942.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Après l’article 1er,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2943.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Après l’article 1er,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2944.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Après l’article 1er,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2945.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er bis (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2946.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er ter (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2947.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Après l’article 1er ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2949.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 2 (Supprimé) Après l’article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2950.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 2 (Supprimé) Après l’article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2951.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 2 (Supprimé) Après l’article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2952.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 2 (Supprimé) Après l’article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2953.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 2 (Supprimé) Après l’article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2954.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 2 (Supprimé) Après l’article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2955.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 2 (Supprimé) Après l’article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2956.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 2 (Supprimé) Après l’article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2957.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 2 (Supprimé) Après l’article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 août 2022,3113.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,DISPOSITIONS RELATIVES À L’ÉQUILIBRE DES RESSOURCES ET DES CHARGES Article 5,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3119.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3120.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3121.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3123.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3124.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3125.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3126.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3127.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3129.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3130.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3131.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3133.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3134.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3136.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3137.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3138.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3139.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3140.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
