Date_seances,Num_page,Titre,Texte,Thème
05 janvier 2022,125.0,DÉFENSE EXTÉRIEURE CONTRE L’INCENDIE : ASSURER LA PROTECTION DES PERSONNES SANS NUIRE AUX TERRITOIRES,,
29 juillet 2022,2745.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 8,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
04 octobre 2022,3436.0,ÉTATS GÉNÉRAUX DE LA JUSTICE Débat organisé à la demande du groupe  Les Républicains,,
05 octobre 2022,3533.0,RÉGIME DE RÉÉLECTION  DES JUGES CONSULAIRES  DANS LES TRIBUNAUX DE COMMERCE Adoption en procédure accélérée d’une proposition de loi  dans le texte de la commission,,
11 octobre 2022,3690.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,OBJECTIFS ET MOYENS  DU MINISTÈRE DE L’INTÉRIEUR Article 1er,PROJET DE LOI D’ORIENTATION ET DE PROGRAMMATION DU MINISTÈRE DE L’INTÉRIEUR TITRE IER
11 octobre 2022,3696.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,OBJECTIFS ET MOYENS  DU MINISTÈRE DE L’INTÉRIEUR Article 1er,PROJET DE LOI D’ORIENTATION ET DE PROGRAMMATION DU MINISTÈRE DE L’INTÉRIEUR TITRE IER
12 octobre 2022,3802.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,Article 3,
12 octobre 2022,3813.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,Article 5 (Supprimé),
13 octobre 2022,3844.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,Après l’article 6,
13 octobre 2022,3845.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,Après l’article 6,
