Date_seances,Num_page,Titre,Texte,Thème
18 janvier 2022,542.0,QUESTIONS ORALES,,
25 janvier 2022,896.0,QUESTIONS ORALES,,
25 janvier 2022,897.0,QUESTIONS ORALES,,
28 juillet 2022,2618.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 1er,PROJET DE LOI PORTANT MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT TITRE IER
28 juillet 2022,2665.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Après l’article 4,PROJET DE LOI PORTANT MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT TITRE IER
28 juillet 2022,2681.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Revalorisation anticipée  de prestations sociales Article 5,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
07 novembre 2022,4906.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE  POUR 2023,Article 7,PROJET DE LOI DE FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR
07 novembre 2022,4908.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE  POUR 2023,Article 7,PROJET DE LOI DE FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR
08 novembre 2022,4950.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 7 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 novembre 2022,4954.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 7 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
13 décembre 2022,8288.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
