Date_seances,Num_page,Titre,Texte,Thème
05 janvier 2022,85.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
05 janvier 2022,86.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
05 janvier 2022,87.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
05 janvier 2022,91.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
12 janvier 2022,320.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
12 janvier 2022,321.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
19 janvier 2022,665.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
19 janvier 2022,666.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
26 janvier 2022,1009.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
02 février 2022,1251.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
02 février 2022,1255.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
02 février 2022,1262.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
09 février 2022,1507.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,PROPOSITION DE LOI RELATIVE AUX LOIS DE FINANCEMENT DE LA SÉCURITÉ SOCIALE
23 février 2022,2023.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
23 février 2022,2024.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
23 février 2022,2030.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
23 février 2022,2031.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
23 février 2022,2034.0,ALLOCUTION DE M. LE PRÉSIDENT  DU SÉNAT,,
01 mars 2022,2212.0,DÉCISION DE LA RUSSIE DE FAIRE LA GUERRE À L’UKRAINE Déclaration du Gouvernement suivie d’un débat,,
01 mars 2022,2230.0,DÉCISION DE LA RUSSIE DE FAIRE LA GUERRE À L’UKRAINE Déclaration du Gouvernement suivie d’un débat,,
