Date_seances,Num_page,Titre,Texte,Thème
11 janvier 2022,236.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,,
11 janvier 2022,250.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Avant l’article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,252.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Avant l’article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,253.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Avant l’article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,287.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
12 janvier 2022,336.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
12 janvier 2022,339.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
12 janvier 2022,377.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
12 janvier 2022,384.0,GESTION DE LA CRISE SANITAIRE,Après l’article 1er,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
15 janvier 2022,480.0,GESTION DE LA CRISE SANITAIRE,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
15 janvier 2022,484.0,GESTION DE LA CRISE SANITAIRE,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
15 janvier 2022,485.0,GESTION DE LA CRISE SANITAIRE,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
15 janvier 2022,489.0,GESTION DE LA CRISE SANITAIRE,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
15 janvier 2022,492.0,GESTION DE LA CRISE SANITAIRE,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
19 janvier 2022,672.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
19 janvier 2022,682.0,RENFORCEMENT DU DROIT  À L’AVORTEMENT,,REJET EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI
19 janvier 2022,690.0,RENFORCEMENT DU DROIT  À L’AVORTEMENT,,REJET EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI
20 janvier 2022,794.0,PROTECTION DES ENFANTS,Article 15 bis,UC.) ADOPTION DES CONCLUSIONS D’UNE COMMISSION MIXTE PARITAIRE SUR UNE PROPOSITION DE LOI
20 janvier 2022,797.0,INTERDICTION DES PRATIQUES VISANT  À MODIFIER L’ORIENTATION SEXUELLE  OU L’IDENTITÉ DE GENRE,Article 4,PROPOSITION DE LOI INTERDISANT LES PRATIQUES VISANT À MODIFIER L’ORIENTATION SEXUELLE OU L’IDENTITÉ DE GENRE D’UNE PERSONNE
20 janvier 2022,847.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,MESURES RENFORCANT LA PROTECTION DES LANCEURS D’ALERTE Article 5,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,861.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Après l’article 6,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,862.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 7,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,865.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Après l’article 8,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,872.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 13 (Suppression maintenue) Vote sur l’ensemble,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,875.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Après l’article 2,PROPOSITION DE LOI ORGANIQUE VISANT À RENFORCER LE RÔLE DU DÉFENSEUR DES DROITS EN MATIÈRE DE SIGNALEMENT D’ALERTE
02 février 2022,1254.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
02 février 2022,1262.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
03 février 2022,1350.0,LUTTE CONTRE LES VIOLENCES FAITES AUX FEMMES ET LES FÉMINICIDES : LES MOYENS SONT-ILS À LA HAUTEUR ? Débat organisé à la demande du groupe communiste républicain citoyen et écologiste,,
09 février 2022,1504.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,PROPOSITION DE LOI RELATIVE AUX LOIS DE FINANCEMENT DE LA SÉCURITÉ SOCIALE
