Date_seances,Num_page,Titre,Texte,Thème
06 janvier 2022,152.0,LE PARTAGE DU TRAVAIL :  UN OUTIL POUR LE PLEIN EMPLOI ? Débat organisé à la demande  du groupe communiste républicain  citoyen et écologiste,,
11 janvier 2022,242.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,,
11 janvier 2022,243.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,,
12 janvier 2022,425.0,GESTION DE LA CRISE SANITAIRE,Article 3,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
20 janvier 2022,800.0,INTERDICTION DES PRATIQUES VISANT  À MODIFIER L’ORIENTATION SEXUELLE  OU L’IDENTITÉ DE GENRE,Article 4,PROPOSITION DE LOI INTERDISANT LES PRATIQUES VISANT À MODIFIER L’ORIENTATION SEXUELLE OU L’IDENTITÉ DE GENRE D’UNE PERSONNE
20 janvier 2022,805.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 4,ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ ET D’UNE PROPOSITION DE LOI ORGANIQUE DANS LE TEXTE DE LA COMMISSION
20 janvier 2022,815.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS GÉNÉRALES Article 1er,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,824.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 2,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,839.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,847.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,MESURES RENFORCANT LA PROTECTION DES LANCEURS D’ALERTE Article 5,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,855.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 6,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,856.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 6,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,862.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 7,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
03 février 2022,1348.0,LUTTE CONTRE LES VIOLENCES FAITES AUX FEMMES ET LES FÉMINICIDES : LES MOYENS SONT-ILS À LA HAUTEUR ? Débat organisé à la demande du groupe communiste républicain citoyen et écologiste,,
