Date_seances,Num_page,Titre,Texte,Thème
12 janvier 2022,351.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
18 janvier 2022,534.0,QUESTIONS ORALES,,
18 janvier 2022,535.0,QUESTIONS ORALES,,
19 janvier 2022,689.0,RENFORCEMENT DU DROIT  À L’AVORTEMENT,,REJET EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI
19 janvier 2022,691.0,RENFORCEMENT DU DROIT  À L’AVORTEMENT,,REJET EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI
20 janvier 2022,799.0,INTERDICTION DES PRATIQUES VISANT  À MODIFIER L’ORIENTATION SEXUELLE  OU L’IDENTITÉ DE GENRE,Article 4,PROPOSITION DE LOI INTERDISANT LES PRATIQUES VISANT À MODIFIER L’ORIENTATION SEXUELLE OU L’IDENTITÉ DE GENRE D’UNE PERSONNE
20 janvier 2022,810.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 4,ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ ET D’UNE PROPOSITION DE LOI ORGANIQUE DANS LE TEXTE DE LA COMMISSION
20 janvier 2022,814.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS GÉNÉRALES Article 1er,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,817.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS GÉNÉRALES Article 1er,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,818.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS GÉNÉRALES Article 1er,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,822.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS GÉNÉRALES Article 1er,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,824.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 2,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,827.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 2,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,829.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Après l’article 2,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,832.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,835.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,836.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,839.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,842.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Après l’article 4,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
