Date_seances,Num_page,Titre,Texte,Thème
19 juillet 2022,2375.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT L’APPROBATION DE L’ACCORD ENTRE LE GOUVERNEMENT DE LA RÉPUBLIQUE FRANÇAISE ET LE GOUVERNEMENT DE L’ÉTAT DU QATAR RELATIF AU STATUT DE LEURS FORCES
19 juillet 2022,2376.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT L’APPROBATION DE L’ACCORD ENTRE LE GOUVERNEMENT DE LA RÉPUBLIQUE FRANÇAISE ET LE GOUVERNEMENT DE L’ÉTAT DU QATAR RELATIF AU STATUT DE LEURS FORCES
27 juillet 2022,2560.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
01 août 2022,2879.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,DISPOSITIONS RELATIVES AUX RESSOURCES Avant l’article 1er A,PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
01 août 2022,2882.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,DISPOSITIONS RELATIVES AUX RESSOURCES Avant l’article 1er A,PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
01 août 2022,2930.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 août 2022,3216.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Après l’article 9 A,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
11 octobre 2022,3640.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,,
19 novembre 2022,5990.0,LOI DE FINANCES POUR 2023,Après l’article 4 nonies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6075.0,LOI DE FINANCES POUR 2023,DISPOSITIONS RELATIVES AUX RESSOURCES Article 5,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6479.0,LOI DE FINANCES POUR 2023,Après l’article 11 octies  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6484.0,LOI DE FINANCES POUR 2023,Après l’article 11 octies  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6489.0,LOI DE FINANCES POUR 2023,Après l’article 11 octies  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6778.0,LOI DE FINANCES POUR 2023,Article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6779.0,LOI DE FINANCES POUR 2023,Article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6794.0,LOI DE FINANCES POUR 2023,Article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6795.0,LOI DE FINANCES POUR 2023,Article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6798.0,LOI DE FINANCES POUR 2023,Article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6799.0,LOI DE FINANCES POUR 2023,Article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6800.0,LOI DE FINANCES POUR 2023,Article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6803.0,LOI DE FINANCES POUR 2023,Article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6804.0,LOI DE FINANCES POUR 2023,Article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6806.0,LOI DE FINANCES POUR 2023,Article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6810.0,LOI DE FINANCES POUR 2023,Article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6811.0,LOI DE FINANCES POUR 2023,Article 10,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
09 novembre 2022,5072.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
02 décembre 2022,7693.0,LOI DE FINANCES POUR 2023,Après l’article 41 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7697.0,LOI DE FINANCES POUR 2023,Après l’article 41 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
