Date_seances,Num_page,Titre,Texte,Thème
18 janvier 2022,525.0,QUESTIONS ORALES,,
18 janvier 2022,526.0,QUESTIONS ORALES,,
20 janvier 2022,798.0,INTERDICTION DES PRATIQUES VISANT  À MODIFIER L’ORIENTATION SEXUELLE  OU L’IDENTITÉ DE GENRE,Article 4,PROPOSITION DE LOI INTERDISANT LES PRATIQUES VISANT À MODIFIER L’ORIENTATION SEXUELLE OU L’IDENTITÉ DE GENRE D’UNE PERSONNE
20 janvier 2022,808.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 4,ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ ET D’UNE PROPOSITION DE LOI ORGANIQUE DANS LE TEXTE DE LA COMMISSION
20 janvier 2022,876.0,MISE AU POINT AU SUJET DE VOTES,Article 3,PROPOSITION DE LOI ORGANIQUE VISANT À RENFORCER LE RÔLE DU DÉFENSEUR DES DROITS EN MATIÈRE DE SIGNALEMENT D’ALERTE
25 janvier 2022,929.0,AGENCES DE L’EAU,,
01 février 2022,1207.0,QUELLE POLITIQUE FERROVIAIRE  POUR ASSURER UN MAILLAGE ÉQUILIBRÉ  DU TERRITOIRE ?,,
25 février 2022,2198.0,PROCÈS-VERBAL,,PROPOSITION DE LOI VISANT À AMÉLIORER LES CONDITIONS SANITAIRES D’ORGANISATION DES ÉLECTIONS LÉGISLATIVES DANS LE CONTEXTE LIÉ À L’ÉPIDÉMIE DE
19 octobre 2022,4050.0,DROIT FONDAMENTAL À L’IVG  ET À LA CONTRACEPTION,,REJET D’UNE PROPOSITION DE LOI CONSTITUTIONNELLE
26 octobre 2022,4289.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
14 novembre 2022,5395.0,ENSEIGNEMENT PROFESSIONNEL,,
15 novembre 2022,5497.0,MODALITÉS D’INCARCÉRATION  OU DE LIBÉRATION À LA SUITE  D’UNE DÉCISION DE COUR D’ASSISES,Article 3 (nouveau),ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
29 novembre 2022,7089.0,QUESTIONS ORALES,,
09 novembre 2022,5069.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
