Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,42.0,MEILLEURE PRISE EN COMPTE DE LA QUALITÉ DE LA VIE ÉTUDIANTE,,
04 janvier 2022,44.0,MEILLEURE PRISE EN COMPTE DE LA QUALITÉ DE LA VIE ÉTUDIANTE,,
10 janvier 2022,185.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,189.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,192.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,193.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,194.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,195.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,197.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,199.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,Article 1er,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
10 janvier 2022,200.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,Article 1er,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
