Date_seances,Num_page,Titre,Texte,Thème
26 janvier 2022,1043.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 3 (Supprimé),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
26 janvier 2022,1056.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,DROIT À L’OUBLI ET ÉVOLUTION DE LA GRILLE DE RÉFÉRENCE DE LA « CONVENTION AERAS » Avant l’article 7,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1057.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,DROIT À L’OUBLI ET ÉVOLUTION DE LA GRILLE DE RÉFÉRENCE DE LA « CONVENTION AERAS » Avant l’article 7,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1058.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 7,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1060.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 7,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
24 février 2022,2126.0,DÉPÔT DU RAPPORT PUBLIC ANNUEL DE LA COUR DES COMPTES SUIVI D’UN DÉBAT,,
19 juillet 2022,2375.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT L’APPROBATION DE L’ACCORD ENTRE LE GOUVERNEMENT DE LA RÉPUBLIQUE FRANÇAISE ET LE GOUVERNEMENT DE L’ÉTAT DU QATAR RELATIF AU STATUT DE LEURS FORCES
01 août 2022,2861.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,,DISCUSSION D’UN PROJET DE LOI
01 août 2022,2874.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,DISPOSITIONS RELATIVES AUX RESSOURCES Avant l’article 1er A,PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
01 août 2022,2882.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,DISPOSITIONS RELATIVES AUX RESSOURCES Avant l’article 1er A,PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
