Date_seances,Num_page,Titre,Texte,Thème
20 juillet 2022,2415.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
06 octobre 2022,3570.0,QUESTIONS ORALES,,
06 octobre 2022,3571.0,QUESTIONS ORALES,,
06 octobre 2022,3572.0,QUESTIONS ORALES,,
06 octobre 2022,3573.0,QUESTIONS ORALES,,
06 octobre 2022,3574.0,QUESTIONS ORALES,,
06 octobre 2022,3575.0,QUESTIONS ORALES,,
06 octobre 2022,3576.0,QUESTIONS ORALES,,
23 novembre 2022,6444.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,Après l’article 11 octies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
13 décembre 2022,8273.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
13 décembre 2022,8274.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
13 décembre 2022,8275.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
13 décembre 2022,8276.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
13 décembre 2022,8277.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
