Date_seances,Num_page,Titre,Texte,Thème
12 janvier 2022,394.0,GESTION DE LA CRISE SANITAIRE,Article 1er bis A (Supprimé),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
18 janvier 2022,536.0,QUESTIONS ORALES,,
02 février 2022,1263.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
02 février 2022,1264.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
24 février 2022,2133.0,DÉPÔT DU RAPPORT PUBLIC ANNUEL DE LA COUR DES COMPTES SUIVI D’UN DÉBAT,,
28 juillet 2022,2655.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Après l’article 3 ter,PROJET DE LOI PORTANT MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT TITRE IER
28 juillet 2022,2656.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Après l’article 3 ter,PROJET DE LOI PORTANT MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT TITRE IER
28 juillet 2022,2657.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Après l’article 3 ter,PROJET DE LOI PORTANT MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT TITRE IER
28 juillet 2022,2672.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Revalorisation anticipée  de prestations sociales Article 5,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
29 juillet 2022,2751.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 9 (Non modifié),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
29 juillet 2022,2755.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 10,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
