Date_seances,Num_page,Titre,Texte,Thème
09 février 2022,1504.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,PROPOSITION DE LOI RELATIVE AUX LOIS DE FINANCEMENT DE LA SÉCURITÉ SOCIALE
21 février 2022,1906.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,,ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
21 février 2022,1910.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,,ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
21 février 2022,1912.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,,ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
21 février 2022,1915.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 3 (nouveau),PROJET DE LOI RATIFIANT L’ORDONNANCE
21 février 2022,1916.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 4 (nouveau),PROJET DE LOI RATIFIANT L’ORDONNANCE
21 février 2022,1917.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 5 (nouveau),PROJET DE LOI RATIFIANT L’ORDONNANCE
21 février 2022,1918.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 6 (nouveau),PROJET DE LOI RATIFIANT L’ORDONNANCE
21 février 2022,1920.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 7 (nouveau),PROJET DE LOI RATIFIANT L’ORDONNANCE
21 février 2022,1921.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 9 (nouveau),PROJET DE LOI RATIFIANT L’ORDONNANCE
21 février 2022,1922.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 13 (nouveau),PROJET DE LOI RATIFIANT L’ORDONNANCE
21 février 2022,1923.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 16 (nouveau),PROJET DE LOI RATIFIANT L’ORDONNANCE
23 février 2022,2019.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
26 octobre 2022,4332.0,GUERRE EN UKRAINE ET CONSÉQUENCES POUR LA FRANCE,Article unique (Non modifié),PROJET DE LOI AUTORISANT LA RATIFICATION DU TRAITÉ ENTRE LA RÉPUBLIQUE FRANÇAISE ET LA RÉPUBLIQUE ITALIENNE POUR UNE COOPÉRATION BILATÉRALE RENFORCÉE
05 décembre 2022,7825.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7826.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7828.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7829.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7830.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7832.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7833.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7834.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7835.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7836.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
