Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,30.0,"TROIS ANS APRÈS LA LOI « ASILE ET IMMIGRATION », QUEL EST LE NIVEAU RÉEL DE MAÎTRISE DE L’IMMIGRATION PAR LES POUVOIRS PUBLICS ?",,
04 janvier 2022,45.0,MEILLEURE PRISE EN COMPTE DE LA QUALITÉ DE LA VIE ÉTUDIANTE,,
18 janvier 2022,571.0,DÉMOCRATISATION DU SPORT,Article 1er bis,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
27 janvier 2022,1108.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
27 janvier 2022,1131.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Après l’article 3,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1177.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 8 (Suppression maintenue) Vote sur l’ensemble,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
01 février 2022,1197.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
01 février 2022,1198.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
01 février 2022,1239.0,MIEUX PROTÉGER  NOTRE PATRIMOINE SCIENTIFIQUE  ET NOS LIBERTÉS ACADÉMIQUES,,
09 février 2022,1618.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE,Article 86,ADOPTION DÉFINITIVE EN NOUVELLE LECTURE D’UNE PROPOSITION DE LOI ORGANIQUE ET D’UNE PROPOSITION DE LOI DANS LES TEXTES DE LA COMMISSION
15 février 2022,1752.0,RESTITUTION OU REMISE  DE BIENS CULTURELS AUX AYANTS DROIT  DE LEURS PROPRIÉTAIRES VICTIMES  DE PERSÉCUTIONS ANTISÉMITES,Article 4,ADOPTION DÉFINITIVE EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
15 février 2022,1753.0,RESTITUTION OU REMISE  DE BIENS CULTURELS AUX AYANTS DROIT  DE LEURS PROPRIÉTAIRES VICTIMES  DE PERSÉCUTIONS ANTISÉMITES,Article 4,ADOPTION DÉFINITIVE EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
16 février 2022,1813.0,DÉMOCRATISATION DU SPORT,Article 3,REJET EN NOUVELLE LECTURE D’UNE PROPOSITION DE LOI
17 février 2022,1856.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 5 (Non modifié),DISCUSSION EN NOUVELLE LECTURE D’UNE PROPOSITION DE LOI
17 février 2022,1869.0,AMÉNAGEMENT DU RHÔNE,COMPTABILITÉ ET TITRES D’OCCUPATION DU DOMAINE PUBLIC Article 6,PROPOSITION DE LOI RELATIVE À L’AMÉNAGEMENT DU RHÔNE TITRE IER
22 février 2022,1951.0,RÉGULATION DU MARCHÉ DE L’ART,Article unique,ADOPTION DÉFINITIVE EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
22 février 2022,1964.0,BILAN DE LA POLITIQUE  ÉDUCATIVE FRANÇAISE,Article 9 (Non modifié),PROPOSITION DE LOI VISANT À MODERNISER LA RÉGULATION DU MARCHÉ DE L’ART
20 juillet 2022,2482.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,Article 2 bis (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
02 août 2022,2985.0,QUESTIONS ORALES,,
02 août 2022,2986.0,QUESTIONS ORALES,,
02 août 2022,3058.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 3  (Supprimé) Après l’article 3,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3059.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 3  (Supprimé) Après l’article 3,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3083.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Après l’article 4 bis,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3193.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 6 et état B (suite),SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
03 août 2022,3334.0,PROJET DE PROGRAMME DE STABILITÉ POUR 2022-2027,Article 23,SUITE DE LA DISCUSSION ET ADOPTION DES CONCLUSIONS D’UNE COMMISSION MIXTE PARITAIRE SUR UN PROJET DE LOI
10 novembre 2022,5182.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 24 ter  (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
10 novembre 2022,5193.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 25,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
10 novembre 2022,5259.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 32,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5280.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 32 sexies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5283.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 33 bis (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5286.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 33 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5287.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 33 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
