Date_seances,Num_page,Titre,Texte,Thème
12 janvier 2022,338.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
12 janvier 2022,339.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
19 janvier 2022,669.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
19 janvier 2022,683.0,RENFORCEMENT DU DROIT  À L’AVORTEMENT,,REJET EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI
26 janvier 2022,1022.0,DIALOGUE SOCIAL  AVEC LES PLATEFORMES,Article unique,ADOPTION DES CONCLUSIONS D’UNE COMMISSION MIXTE PARITAIRE SUR UN PROJET DE LOI
27 janvier 2022,1135.0,GOUVERNANCE DE L’AEFE  ET CRÉATION DES INSTITUTS RÉGIONAUX  DE FORMATION,Article 3 bis (Supprimé),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
27 janvier 2022,1145.0,GOUVERNANCE DE L’AEFE  ET CRÉATION DES INSTITUTS RÉGIONAUX  DE FORMATION,Avant l’article 1er,PROPOSITION DE LOI VISANT À FAIRE ÉVOLUER LA GOUVERNANCE DE L’AGENCE POUR L’ENSEIGNEMENT FRANÇAIS À L’ÉTRANGER ET À CRÉER LES INSTITUTS RÉGIONAUX DE FORMATION
27 janvier 2022,1146.0,GOUVERNANCE DE L’AEFE  ET CRÉATION DES INSTITUTS RÉGIONAUX  DE FORMATION,Article 1er,PROPOSITION DE LOI VISANT À FAIRE ÉVOLUER LA GOUVERNANCE DE L’AGENCE POUR L’ENSEIGNEMENT FRANÇAIS À L’ÉTRANGER ET À CRÉER LES INSTITUTS RÉGIONAUX DE FORMATION
27 janvier 2022,1147.0,GOUVERNANCE DE L’AEFE  ET CRÉATION DES INSTITUTS RÉGIONAUX  DE FORMATION,Article 1er,PROPOSITION DE LOI VISANT À FAIRE ÉVOLUER LA GOUVERNANCE DE L’AGENCE POUR L’ENSEIGNEMENT FRANÇAIS À L’ÉTRANGER ET À CRÉER LES INSTITUTS RÉGIONAUX DE FORMATION
27 janvier 2022,1148.0,GOUVERNANCE DE L’AEFE  ET CRÉATION DES INSTITUTS RÉGIONAUX  DE FORMATION,Article 1er,PROPOSITION DE LOI VISANT À FAIRE ÉVOLUER LA GOUVERNANCE DE L’AGENCE POUR L’ENSEIGNEMENT FRANÇAIS À L’ÉTRANGER ET À CRÉER LES INSTITUTS RÉGIONAUX DE FORMATION
