Date_seances,Num_page,Titre,Texte,Thème
05 janvier 2022,93.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
05 janvier 2022,100.0,ADOPTION D’UNE DÉCLARATION  DE LA FIN DE LA GUERRE DE CORÉE,,
05 janvier 2022,103.0,ADOPTION D’UNE DÉCLARATION  DE LA FIN DE LA GUERRE DE CORÉE,,
05 janvier 2022,111.0,ADOPTION D’UNE DÉCLARATION  DE LA FIN DE LA GUERRE DE CORÉE,,
15 janvier 2022,491.0,GESTION DE LA CRISE SANITAIRE,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
02 février 2022,1254.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
15 février 2022,1692.0,QUESTIONS ORALES,,
15 février 2022,1693.0,QUESTIONS ORALES,,
23 février 2022,2048.0,ENGAGEMENT DE LA FRANCE AU SAHEL,,
23 février 2022,2050.0,ENGAGEMENT DE LA FRANCE AU SAHEL,,
23 février 2022,2053.0,ENGAGEMENT DE LA FRANCE AU SAHEL,,
01 mars 2022,2229.0,DÉCISION DE LA RUSSIE DE FAIRE LA GUERRE À L’UKRAINE Déclaration du Gouvernement suivie d’un débat,,
01 mars 2022,2230.0,DÉCISION DE LA RUSSIE DE FAIRE LA GUERRE À L’UKRAINE Déclaration du Gouvernement suivie d’un débat,,
01 mars 2022,2234.0,DÉCISION DE LA RUSSIE DE FAIRE LA GUERRE À L’UKRAINE Déclaration du Gouvernement suivie d’un débat,,
12 juillet 2022,2295.0,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Déclaration du Gouvernement suivie d’un débat,,
12 juillet 2022,2296.0,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
12 juillet 2022,2297.0,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
19 juillet 2022,2357.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT LA RATIFICATION DE LA CONVENTION DU CONSEIL DE L’EUROPE CONTRE LE TRAFIC D’ORGANES HUMAINS
19 juillet 2022,2359.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT LA RATIFICATION DE LA CONVENTION DU CONSEIL DE L’EUROPE CONTRE LE TRAFIC D’ORGANES HUMAINS
19 juillet 2022,2360.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT LA RATIFICATION DE LA CONVENTION DU CONSEIL DE L’EUROPE CONTRE LE TRAFIC D’ORGANES HUMAINS
21 juillet 2022,2505.0,ADHÉSION DE LA FINLANDE  ET DE LA SUÈDE À L’OTAN,,ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
28 juillet 2022,2609.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 1er,PROJET DE LOI PORTANT MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT TITRE IER
01 août 2022,2853.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,,DISCUSSION D’UN PROJET DE LOI
03 août 2022,3316.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 23,SUITE DE LA DISCUSSION ET ADOPTION DES CONCLUSIONS D’UNE COMMISSION MIXTE PARITAIRE SUR UN PROJET DE LOI
11 octobre 2022,3637.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,,
11 octobre 2022,3641.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,,
26 octobre 2022,4300.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
