Date_seances,Num_page,Titre,Texte,Thème
11 janvier 2022,287.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
12 janvier 2022,335.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
18 janvier 2022,521.0,QUESTIONS ORALES,,
18 janvier 2022,522.0,QUESTIONS ORALES,,
17 février 2022,1849.0,COMPÉTENCES DE LA COLLECTIVITÉ EUROPÉENNE D’ALSACE,Après l’article 1er septdecies,PROJET DE LOI RATIFIANT LES ORDONNANCES PRISES SUR LE FONDEMENT DE L’ARTICLE
20 juillet 2022,2484.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,Après l’article 2 bis,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
01 août 2022,2897.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Après l’article 1er A,PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
06 octobre 2022,3574.0,QUESTIONS ORALES,,
06 octobre 2022,3575.0,QUESTIONS ORALES,,
17 novembre 2022,5626.0,DÉVELOPPEMENT ÉCONOMIQUE  DE LA FILIÈRE DU CHANVRE,Article unique (Non modifié),"PROJET DE LOI AUTORISANT L’APPROBATION DE LA DÉCLARATION RELATIVE À LA PHASE D’EXPLOITATION DES LANCEURS ARIANE, VEGA ET SOYOUZ AU CENTRE SPATIAL GUYANAIS"
29 novembre 2022,7163.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7164.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7173.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7183.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7188.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7189.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7190.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7192.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7193.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7194.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7195.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7196.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7197.0,LOI DE FINANCES POUR 2023,Après l’article 46 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7199.0,LOI DE FINANCES POUR 2023,Article 46 bis (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7200.0,LOI DE FINANCES POUR 2023,Après l’article 46 bis,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7201.0,LOI DE FINANCES POUR 2023,Après l’article 46 bis,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
07 novembre 2022,4846.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,,DISCUSSION D’UN PROJET DE LOI
08 novembre 2022,4940.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 7 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 novembre 2022,4941.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 7 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 novembre 2022,4981.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 8,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
13 décembre 2022,8280.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
13 décembre 2022,8281.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
