Date_seances,Num_page,Titre,Texte,Thème
05 janvier 2022,112.0,DÉFENSE EXTÉRIEURE CONTRE L’INCENDIE : ASSURER LA PROTECTION DES PERSONNES SANS NUIRE AUX TERRITOIRES,,
05 janvier 2022,113.0,DÉFENSE EXTÉRIEURE CONTRE L’INCENDIE : ASSURER LA PROTECTION DES PERSONNES SANS NUIRE AUX TERRITOIRES,,
05 janvier 2022,116.0,DÉFENSE EXTÉRIEURE CONTRE L’INCENDIE : ASSURER LA PROTECTION DES PERSONNES SANS NUIRE AUX TERRITOIRES,,
05 janvier 2022,117.0,DÉFENSE EXTÉRIEURE CONTRE L’INCENDIE : ASSURER LA PROTECTION DES PERSONNES SANS NUIRE AUX TERRITOIRES,,
05 janvier 2022,122.0,DÉFENSE EXTÉRIEURE CONTRE L’INCENDIE : ASSURER LA PROTECTION DES PERSONNES SANS NUIRE AUX TERRITOIRES,,
11 janvier 2022,248.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Avant l’article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,274.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,294.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
12 janvier 2022,345.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
18 janvier 2022,532.0,QUESTIONS ORALES,,
18 janvier 2022,533.0,QUESTIONS ORALES,,
18 janvier 2022,591.0,DÉMOCRATISATION DU SPORT,Après l’article 2 bis,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,604.0,DÉMOCRATISATION DU SPORT,Article 3 bis B (nouveau),"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,633.0,DÉMOCRATISATION DU SPORT,Après l’article 5,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
