Date_seances,Num_page,Titre,Texte,Thème
05 janvier 2022,119.0,DÉFENSE EXTÉRIEURE CONTRE L’INCENDIE : ASSURER LA PROTECTION DES PERSONNES SANS NUIRE AUX TERRITOIRES,,
18 janvier 2022,557.0,DÉMOCRATISATION DU SPORT,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
18 janvier 2022,576.0,DÉMOCRATISATION DU SPORT,Après l’article 1er ter C,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,649.0,DÉMOCRATISATION DU SPORT,Article 8 ter,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,650.0,DÉMOCRATISATION DU SPORT,Article 8 ter,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
19 janvier 2022,695.0,MISE AU POINT AU SUJET D’UN VOTE,,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
19 janvier 2022,707.0,DÉMOCRATISATION DU SPORT,Article 10 bis A,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
19 janvier 2022,713.0,DÉMOCRATISATION DU SPORT,Article 10 bis A,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
19 janvier 2022,732.0,DÉMOCRATISATION DU SPORT,Après l’article 11,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
19 janvier 2022,739.0,DÉMOCRATISATION DU SPORT,Après l’article 11,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
