Date_seances,Num_page,Titre,Texte,Thème
15 janvier 2022,490.0,GESTION DE LA CRISE SANITAIRE,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
20 janvier 2022,794.0,INTERDICTION DES PRATIQUES VISANT  À MODIFIER L’ORIENTATION SEXUELLE  OU L’IDENTITÉ DE GENRE,Article 15 bis,UC.) ADOPTION DES CONCLUSIONS D’UNE COMMISSION MIXTE PARITAIRE SUR UNE PROPOSITION DE LOI
26 janvier 2022,1074.0,RÉFORME DE L’ADOPTION,Article 9,ADOPTION EN NOUVELLE LECTURE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
15 février 2022,1667.0,QUESTIONS ORALES,,
15 février 2022,1728.0,CHOIX DU NOM ISSU DE LA FILIATION,Article 8 (Supprimé),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
15 février 2022,1742.0,CHOIX DU NOM ISSU DE LA FILIATION,Après l’article 2,PROPOSITION DE LOI RELATIVE AU CHOIX DU NOM ISSU DE LA FILIATION
24 février 2022,2143.0,CHOIX DU NOM ISSU DE LA FILIATION Suite de la discussion en nouvelle lecture  et rejet d’une proposition de loi,,
25 février 2022,2195.0,PROCÈS-VERBAL,,PROPOSITION DE LOI VISANT À AMÉLIORER LES CONDITIONS SANITAIRES D’ORGANISATION DES ÉLECTIONS LÉGISLATIVES DANS LE CONTEXTE LIÉ À L’ÉPIDÉMIE DE
20 juillet 2022,2465.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,Article 2  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
04 octobre 2022,3430.0,ÉTATS GÉNÉRAUX DE LA JUSTICE Débat organisé à la demande du groupe  Les Républicains,,
11 octobre 2022,3635.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,,
11 octobre 2022,3709.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,Article 1er et rapport annexé  (suite),PROJET DE LOI D’ORIENTATION ET DE PROGRAMMATION DU MINISTÈRE DE L’INTÉRIEUR TITRE IER
13 octobre 2022,3850.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,Après l’article 7,
13 octobre 2022,3855.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,Après l’article 7,
13 octobre 2022,3871.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,Après l’article 8,
22 novembre 2022,6377.0,LOI DE FINANCES POUR 2023,Après l’article 9 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6378.0,LOI DE FINANCES POUR 2023,Après l’article 9 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6837.0,LOI DE FINANCES POUR 2023,Après l’article 46 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6838.0,LOI DE FINANCES POUR 2023,Après l’article 46 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6854.0,LOI DE FINANCES POUR 2023,Après l’article 46 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7096.0,QUESTIONS ORALES,,
29 novembre 2022,7097.0,QUESTIONS ORALES,,
