Date_seances,Num_page,Titre,Texte,Thème
12 janvier 2022,358.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
18 janvier 2022,527.0,QUESTIONS ORALES,,
26 janvier 2022,1039.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 3 (Supprimé),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
26 janvier 2022,1051.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Après l’article 2,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1052.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Après l’article 2,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1065.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 7 bis (nouveau),"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1066.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 7 bis (nouveau),"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1067.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 7 bis (nouveau),"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1068.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 8 (Non modifié),"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1069.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 9,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
