Date_seances,Num_page,Titre,Texte,Thème
18 janvier 2022,556.0,DÉMOCRATISATION DU SPORT,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
18 janvier 2022,564.0,DÉMOCRATISATION DU SPORT,Article 1er,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,565.0,DÉMOCRATISATION DU SPORT,Article 1er,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,566.0,DÉMOCRATISATION DU SPORT,Article 1er,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,571.0,DÉMOCRATISATION DU SPORT,Article 1er bis,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,573.0,DÉMOCRATISATION DU SPORT,Article 1er ter A (nouveau),"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,575.0,DÉMOCRATISATION DU SPORT,Après l’article 1er ter C,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,576.0,DÉMOCRATISATION DU SPORT,Après l’article 1er ter C,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,577.0,DÉMOCRATISATION DU SPORT,Après l’article 1er ter C,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,578.0,DÉMOCRATISATION DU SPORT,Article 1er ter,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,580.0,DÉMOCRATISATION DU SPORT,Article 1er quater A (nouveau),"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,587.0,DÉMOCRATISATION DU SPORT,Article 1er quinquies (nouveau),"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,596.0,DÉMOCRATISATION DU SPORT,Article 3,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,598.0,DÉMOCRATISATION DU SPORT,Article 3,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,599.0,DÉMOCRATISATION DU SPORT,Article 3,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,606.0,DÉMOCRATISATION DU SPORT,Article 3 ter,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,608.0,DÉMOCRATISATION DU SPORT,Après l’article 3 ter,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,614.0,DÉMOCRATISATION DU SPORT,Article 4,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,615.0,DÉMOCRATISATION DU SPORT,Article 4,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,617.0,DÉMOCRATISATION DU SPORT,Article 4,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,618.0,DÉMOCRATISATION DU SPORT,Après l’article 4,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,622.0,DÉMOCRATISATION DU SPORT,Après l’article 4 bis B,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
