Date_seances,Num_page,Titre,Texte,Thème
05 janvier 2022,143.0,OUBLIÉS DU SÉGUR DE LA SANTÉ ET INVESTISSEMENTS LIÉS AU SÉGUR À L’HÔPITAL,,
10 janvier 2022,204.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 2,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
10 janvier 2022,216.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 1er,PROPOSITION DE LOI VISANT À LIMITER L’ENGRILLAGEMENT DES ESPACES NATURELS ET À PROTÉGER LA PROPRIÉTÉ PRIVÉE
10 janvier 2022,217.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 1er,PROPOSITION DE LOI VISANT À LIMITER L’ENGRILLAGEMENT DES ESPACES NATURELS ET À PROTÉGER LA PROPRIÉTÉ PRIVÉE
10 janvier 2022,218.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 1er,PROPOSITION DE LOI VISANT À LIMITER L’ENGRILLAGEMENT DES ESPACES NATURELS ET À PROTÉGER LA PROPRIÉTÉ PRIVÉE
10 janvier 2022,219.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 1er,PROPOSITION DE LOI VISANT À LIMITER L’ENGRILLAGEMENT DES ESPACES NATURELS ET À PROTÉGER LA PROPRIÉTÉ PRIVÉE
10 janvier 2022,220.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 1er,PROPOSITION DE LOI VISANT À LIMITER L’ENGRILLAGEMENT DES ESPACES NATURELS ET À PROTÉGER LA PROPRIÉTÉ PRIVÉE
10 janvier 2022,221.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 1er bis (nouveau),PROPOSITION DE LOI VISANT À LIMITER L’ENGRILLAGEMENT DES ESPACES NATURELS ET À PROTÉGER LA PROPRIÉTÉ PRIVÉE
10 janvier 2022,222.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Après l’article 1er bis,PROPOSITION DE LOI VISANT À LIMITER L’ENGRILLAGEMENT DES ESPACES NATURELS ET À PROTÉGER LA PROPRIÉTÉ PRIVÉE
10 janvier 2022,224.0,LIMITATION DE L’ENGRILLAGEMENT DES ESPACES NATURELS ET PROTECTION DE LA PROPRIÉTÉ PRIVÉE Adoption d’une proposition de loi  dans le texte de la commission modifié,Article 1er quinquies (nouveau),PROPOSITION DE LOI VISANT À LIMITER L’ENGRILLAGEMENT DES ESPACES NATURELS ET À PROTÉGER LA PROPRIÉTÉ PRIVÉE
18 janvier 2022,538.0,QUESTIONS ORALES,,
18 janvier 2022,539.0,QUESTIONS ORALES,,
16 février 2022,1778.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,PROPOSITION DE LOI ORGANIQUE VISANT À RENFORCER LE RÔLE DU DÉFENSEUR DES DROITS EN MATIÈRE DE SIGNALEMENT D’ALERTE
16 février 2022,1779.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,PROPOSITION DE LOI ORGANIQUE VISANT À RENFORCER LE RÔLE DU DÉFENSEUR DES DROITS EN MATIÈRE DE SIGNALEMENT D’ALERTE
24 février 2022,2171.0,OUTILS DE GESTION DES RISQUES CLIMATIQUES EN AGRICULTURE Adoption définitive des conclusions d’une commission mixte paritaire sur un projet de loi,Article 17,PROJET DE LOI D’ORIENTATION RELATIVE À UNE MEILLEURE DIFFUSION DE L’ASSURANCE RÉCOLTE EN AGRICULTURE ET PORTANT RÉFORME DES OUTILS DE GESTION DES RISQUES EN AGRICULTURE
24 février 2022,2179.0,CONTRÔLE PARENTAL SUR INTERNET Adoption définitive des conclusions d’une commission mixte paritaire sur une proposition de loi,Article 3 bis,PROPOSITION DE LOI VISANT À RENFORCER LE CONTRÔLE PARENTAL SUR LES MOYENS D’ACCÈS À INTERNET
01 août 2022,2914.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er E (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
04 octobre 2022,3452.0,URGENCES HOSPITALIÈRES ET SOINS NON PROGRAMMÉS Débat organisé à la demande du groupe  Les Républicains,,
06 octobre 2022,3586.0,QUESTIONS ORALES,,
18 octobre 2022,3926.0,MISE AU POINT AU SUJET D’UN VOTE,,ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
19 octobre 2022,4057.0,DROIT FONDAMENTAL À L’IVG  ET À LA CONTRACEPTION,Article unique,PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE ET À LA CONTRACEPTION
19 octobre 2022,4058.0,DROIT FONDAMENTAL À L’IVG  ET À LA CONTRACEPTION,Article unique,PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE ET À LA CONTRACEPTION
19 octobre 2022,4059.0,DROIT FONDAMENTAL À L’IVG  ET À LA CONTRACEPTION,Article unique,PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE ET À LA CONTRACEPTION
03 novembre 2022,4500.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,"MESURES VISANT À RENFORCER LA PLANIFICATION TERRITORIALE DU DÉVELOPPEMENT DES ÉNERGIES RENOUVELABLES, À AMÉLIORER LA CONCERTATION AUTOUR DE CES PROJETS ET À FAVORISER LA PARTICIPATION DES COLLECTIVITÉS TERRITORIALES  À LEUR IMPLANTATION  (Division nouvelle) Article 1er A  (nouveau)",PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4539.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4544.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4545.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4549.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4550.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4551.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4571.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er quinquies  (nouveau),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
04 novembre 2022,4631.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 11,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4636.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 11,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4644.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 11,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4698.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 12,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4785.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 18 ter,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
04 novembre 2022,4786.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 18 ter,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
04 novembre 2022,4798.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 21,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
04 novembre 2022,4799.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 21,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
04 novembre 2022,4800.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 21,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
08 novembre 2022,5036.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 11,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
