Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,27.0,"TROIS ANS APRÈS LA LOI « ASILE ET IMMIGRATION », QUEL EST LE NIVEAU RÉEL DE MAÎTRISE DE L’IMMIGRATION PAR LES POUVOIRS PUBLICS ?",,
20 janvier 2022,807.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 4,ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ ET D’UNE PROPOSITION DE LOI ORGANIQUE DANS LE TEXTE DE LA COMMISSION
20 janvier 2022,817.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS GÉNÉRALES Article 1er,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,825.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 2,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,834.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,838.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,PROCÉDURES DE SIGNALEMENT Article 3,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,863.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 8,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,869.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 11 ter,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,872.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 13 (Suppression maintenue) Vote sur l’ensemble,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
08 février 2022,1407.0,ACTIVITÉ PROFESSIONNELLE INDÉPENDANTE Adoption des conclusions d’une commission mixte paritaire sur un projet de loi,Article 16 (Supprimé) Article 17,PROJET DE LOI EN FAVEUR DE L’ACTIVITÉ PROFESSIONNELLE INDÉPENDANTE
09 février 2022,1639.0,CONTRÔLE PARENTAL SUR INTERNET,Article 1er bis (Non modifié),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
09 février 2022,1640.0,CONTRÔLE PARENTAL SUR INTERNET,Article 1er bis (Non modifié),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
16 février 2022,1792.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 3,PROPOSITION DE LOI ORGANIQUE VISANT À RENFORCER LE RÔLE DU DÉFENSEUR DES DROITS EN MATIÈRE DE SIGNALEMENT D’ALERTE
17 février 2022,1841.0,COMPÉTENCES DE LA COLLECTIVITÉ EUROPÉENNE D’ALSACE,,ADOPTION DÉFINITIVE EN DEUXIÈME LECTURE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
24 février 2022,2157.0,CERTIFICATION DE CYBERSÉCURITÉ DES PLATEFORMES NUMÉRIQUES Adoption définitive en deuxième lecture d’une proposi-tion de loi dans le texte de la commission,Article unique (Non modifié),PROPOSITION DE LOI RELATIVE AU MONDE COMBATTANT
12 juillet 2022,2318.0,DIFFUSION DE CONTENUS À CARACTÈRE TERRORISTE EN LIGNE Adoption en procédure accélérée d’une proposition de loi dans le texte de la commission modifié,,
26 juillet 2022,2530.0,DIFFUSION DE CONTENUS  À CARACTÈRE TERRORISTE EN LIGNE,Article unique,PROPOSITION DE LOI PORTANT DIVERSES DISPOSITIONS D’ADAPTATION AU DROIT DE L’UNION EUROPÉENNE EN MATIÈRE DE PRÉVENTION DE LA DIFFUSION DE CONTENUS À CARACTÈRE TERRORISTE EN LIGNE
