Date_seances,Num_page,Titre,Texte,Thème
06 janvier 2022,162.0,LE PARTAGE DU TRAVAIL :  UN OUTIL POUR LE PLEIN EMPLOI ? Débat organisé à la demande  du groupe communiste républicain  citoyen et écologiste,,
11 janvier 2022,259.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
12 janvier 2022,403.0,GESTION DE LA CRISE SANITAIRE,Article 1er quinquies A (Non modifié),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
25 janvier 2022,965.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
25 janvier 2022,968.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er bis,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
25 janvier 2022,973.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Après l’article 1er bis,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
25 janvier 2022,988.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 4,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
26 janvier 2022,1044.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 3 (Supprimé),"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
08 février 2022,1472.0,OUTILS DE GESTION  DES RISQUES CLIMATIQUES  EN AGRICULTURE Suite de la discussion en procédure accélérée et adoption d’un projet de loi dans le texte de la commission modifié,Article 5,PROJET DE LOI PORTANT RÉFORME DES OUTILS DE GESTION DES RISQUES CLIMATIQUES EN AGRICULTURE
08 février 2022,1473.0,OUTILS DE GESTION  DES RISQUES CLIMATIQUES  EN AGRICULTURE Suite de la discussion en procédure accélérée et adoption d’un projet de loi dans le texte de la commission modifié,Article 5,PROJET DE LOI PORTANT RÉFORME DES OUTILS DE GESTION DES RISQUES CLIMATIQUES EN AGRICULTURE
15 février 2022,1756.0,RESTITUTION OU REMISE  DE BIENS CULTURELS AUX AYANTS DROIT  DE LEURS PROPRIÉTAIRES VICTIMES  DE PERSÉCUTIONS ANTISÉMITES,Article 2 (Non modifié),PROJET DE LOI RELATIF À LA RESTITUTION OU LA REMISE DE CERTAINS BIENS CULTURELS AUX AYANTS DROIT DE LEURS PROPRIÉTAIRES VICTIMES DE PERSÉCUTIONS ANTISÉMITES
17 février 2022,1896.0,ACCÈS DES EXPERTS FORESTIERS  AUX DONNÉES CADASTRALES,Article unique (Non modifié),PROPOSITION DE LOI VISANT À SIMPLIFIER L’ACCÈS DES EXPERTS FORESTIERS AUX DONNÉES CADASTRALES
24 février 2022,2150.0,MONDE COMBATTANT Adoption définitive en deuxième lecture d’une proposi-tion de loi dans le texte de la commission,,
19 juillet 2022,2380.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article 1er,PROJET DE LOI DE RÈGLEMENT DU BUDGET ET D’APPROBATION DES COMPTES DE L’ANNÉE
19 juillet 2022,2381.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article 2,PROJET DE LOI DE RÈGLEMENT DU BUDGET ET D’APPROBATION DES COMPTES DE L’ANNÉE
20 juillet 2022,2476.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,Article 2 bis (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
28 juillet 2022,2673.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Revalorisation anticipée  de prestations sociales Article 5,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
28 juillet 2022,2683.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 5 bis (Non modifié),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
01 août 2022,2924.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 1er,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 août 2022,3103.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 4 quater (nouveau),SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3148.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,AUTORISATIONS BUDGÉTAIRES POUR 2022. – CRÉDITS DES MISSIONS Article 6,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
11 octobre 2022,3674.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,OBJECTIFS ET MOYENS  DU MINISTÈRE DE L’INTÉRIEUR Article 1er,PROJET DE LOI D’ORIENTATION ET DE PROGRAMMATION DU MINISTÈRE DE L’INTÉRIEUR TITRE IER
11 octobre 2022,3702.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,Article 1er et rapport annexé  (suite),PROJET DE LOI D’ORIENTATION ET DE PROGRAMMATION DU MINISTÈRE DE L’INTÉRIEUR TITRE IER
11 octobre 2022,3716.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,Article 1er et rapport annexé  (suite),PROJET DE LOI D’ORIENTATION ET DE PROGRAMMATION DU MINISTÈRE DE L’INTÉRIEUR TITRE IER
12 octobre 2022,3790.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,OBJECTIFS ET MOYENS  DU MINISTÈRE DE L’INTÉRIEUR Article 1er  (suite),
12 octobre 2022,3801.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,Article 2,
13 octobre 2022,3847.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR,Article 7,
18 octobre 2022,3993.0,INTERVENTION DES CABINETS  DE CONSEIL PRIVÉS  DANS LES POLITIQUES PUBLIQUES,Article 3,PROPOSITION DE LOI ENCADRANT L’INTERVENTION DES CABINETS DE CONSEIL PRIVÉS DANS LES POLITIQUES PUBLIQUES
20 octobre 2022,4143.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME,Article unique,PROPOSITION DE LOI EN FAVEUR DU DÉVELOPPEMENT DE L’AGRIVOLTAÏSME
15 novembre 2022,5484.0,SOUTIEN AUX ÉDILES  VICTIMES D’AGRESSION,Article 1er,"PROPOSITION DE LOI VISANT À PERMETTRE AUX DIFFÉRENTES ASSOCIATIONS D’ÉLUS DE SE CONSTITUER PARTIE CIVILE POUR SOUTENIR PLEINEMENT, AU PÉNAL, UN ÉDILE VICTIME D’AGRESSION"
15 novembre 2022,5486.0,SOUTIEN AUX ÉDILES  VICTIMES D’AGRESSION,Article 1er,"PROPOSITION DE LOI VISANT À PERMETTRE AUX DIFFÉRENTES ASSOCIATIONS D’ÉLUS DE SE CONSTITUER PARTIE CIVILE POUR SOUTENIR PLEINEMENT, AU PÉNAL, UN ÉDILE VICTIME D’AGRESSION"
16 novembre 2022,5563.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,DISPOSITIONS RELATIVES À L’ÉQUILIBRE DES RESSOURCES ET DES CHARGES Article 3,PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
18 novembre 2022,5721.0,LOI DE FINANCES POUR 2023,Après l’article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
