Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,54.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME EN FRANCE,,
06 janvier 2022,169.0,LE PARTAGE DU TRAVAIL :  UN OUTIL POUR LE PLEIN EMPLOI ? Débat organisé à la demande  du groupe communiste républicain  citoyen et écologiste,,
26 janvier 2022,1039.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 3 (Supprimé),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
26 janvier 2022,1040.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 3 (Supprimé),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
26 janvier 2022,1051.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 2,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1054.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 3 bis (nouveau),"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1055.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 6,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1056.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 6,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1063.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 7 bis (nouveau),"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1070.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 9,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
26 janvier 2022,1076.0,RÉFORME DE L’ADOPTION,Article 9,ADOPTION EN NOUVELLE LECTURE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
02 février 2022,1257.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
17 février 2022,1881.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 8 (Supprimé) Article 9,"PROPOSITION DE LOI POUR UN ACCÈS PLUS JUSTE, PLUS SIMPLE ET PLUS TRANSPARENT AU MARCHÉ DE L’ASSURANCE EMPRUNTEUR TITRE IER"
17 février 2022,1889.0,ACCÈS DES EXPERTS FORESTIERS  AUX DONNÉES CADASTRALES,Article 8 (Supprimé) Article 9,ADOPTION DÉFINITIVE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
24 février 2022,2182.0,CONTRÔLE PARENTAL SUR INTERNET Adoption définitive des conclusions d’une commission mixte paritaire sur une proposition de loi,Article 3 bis,PROPOSITION DE LOI VISANT À RENFORCER LE CONTRÔLE PARENTAL SUR LES MOYENS D’ACCÈS À INTERNET
