Date_seances,Num_page,Titre,Texte,Thème
10 janvier 2022,188.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,191.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,193.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,194.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,195.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,199.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,Article 1er,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
10 janvier 2022,200.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,Article 1er,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
10 janvier 2022,201.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,Article 2,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
10 janvier 2022,202.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,Article 2,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
12 janvier 2022,325.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
12 janvier 2022,326.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
18 janvier 2022,584.0,DÉMOCRATISATION DU SPORT,Après l’article 1er quater,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,585.0,DÉMOCRATISATION DU SPORT,Après l’article 1er quater,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
19 janvier 2022,745.0,DÉMOCRATISATION DU SPORT,Après l’article 11 bis A,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
19 janvier 2022,748.0,DÉMOCRATISATION DU SPORT,Article 11 bis B (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
19 janvier 2022,754.0,DÉMOCRATISATION DU SPORT,Article 12  (Suppression maintenue) Vote sur l’ensemble,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
27 janvier 2022,1114.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1116.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,DE LA PRÉVENTION DES FAITS  DE HARCÈLEMENT SCOLAIRE  ET DE LA PRISE EN CHARGE DES VICTIMES Article 1er,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1117.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,DE LA PRÉVENTION DES FAITS  DE HARCÈLEMENT SCOLAIRE  ET DE LA PRISE EN CHARGE DES VICTIMES Article 1er,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1118.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,DE LA PRÉVENTION DES FAITS  DE HARCÈLEMENT SCOLAIRE  ET DE LA PRISE EN CHARGE DES VICTIMES Article 1er,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1118.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,DE LA PRÉVENTION DES FAITS  DE HARCÈLEMENT SCOLAIRE  ET DE LA PRISE EN CHARGE DES VICTIMES Article 1er,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1121.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Après l’article 1er,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1125.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 3,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1126.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Après l’article 3,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1127.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Après l’article 3,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1128.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Après l’article 3,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
01 février 2022,1185.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
01 février 2022,1187.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
