Date_seances,Num_page,Titre,Texte,Thème
26 janvier 2022,1007.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
19 octobre 2022,4030.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
17 novembre 2022,5672.0,LOI DE FINANCES POUR 2023,Article 5,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5803.0,LOI DE FINANCES POUR 2023,Article 3 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5877.0,LOI DE FINANCES POUR 2023,Après l’article 3 septdecies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5961.0,LOI DE FINANCES POUR 2023,Après l’article 4 quinquies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,6002.0,LOI DE FINANCES POUR 2023,Article 4 undecies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,6039.0,LOI DE FINANCES POUR 2023,Article 4 duovicies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6289.0,LOI DE FINANCES POUR 2023,Après l’article 8 quinquies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 décembre 2022,8192.0,CRÉATION DE DÉLÉGATIONS PARLEMENTAIRES  AUX DROITS DE L’ENFANT,Article 4 (Non modifié),REJET D’UNE PROPOSITION DE LOI
08 décembre 2022,8196.0,CRÉATION DE DÉLÉGATIONS PARLEMENTAIRES  AUX DROITS DE L’ENFANT,Article 4 (Non modifié),REJET D’UNE PROPOSITION DE LOI
07 décembre 2022,8153.0,HAUSSE DES PRIX DE L’ÉNERGIE  POUR LES COLLECTIVITÉS TERRITORIALES,Article 2,PROPOSITION DE LOI VISANT À PROTÉGER LES COLLECTIVITÉS TERRITORIALES DE LA HAUSSE DES PRIX DE L’ÉNERGIE EN LEUR PERMETTANT DE BÉNÉFICIER DES TARIFS RÉGLEMENTÉS DE VENTE DE L’ÉNERGIE
07 décembre 2022,8157.0,DÉVELOPPEMENT  DU TRANSPORT FERROVIAIRE,Article 2,PROPOSITION DE LOI VISANT À PROTÉGER LES COLLECTIVITÉS TERRITORIALES DE LA HAUSSE DES PRIX DE L’ÉNERGIE EN LEUR PERMETTANT DE BÉNÉFICIER DES TARIFS RÉGLEMENTÉS DE VENTE DE L’ÉNERGIE
07 décembre 2022,8161.0,DÉVELOPPEMENT  DU TRANSPORT FERROVIAIRE,Article 2,PROPOSITION DE LOI VISANT À PROTÉGER LES COLLECTIVITÉS TERRITORIALES DE LA HAUSSE DES PRIX DE L’ÉNERGIE EN LEUR PERMETTANT DE BÉNÉFICIER DES TARIFS RÉGLEMENTÉS DE VENTE DE L’ÉNERGIE
