Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,72.0,POLITIQUE MISE EN PLACE PAR LE GOUVERNEMENT POUR CONFORTER LA SOUVERAINETÉ MARITIME FRANÇAISE SUR LES OCÉANS ET GARANTIR NOS INTÉRÊTS ÉCONOMIQUES ET STRATÉGIQUES,,
05 janvier 2022,104.0,ADOPTION D’UNE DÉCLARATION  DE LA FIN DE LA GUERRE DE CORÉE,,
19 janvier 2022,671.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
19 janvier 2022,672.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
01 février 2022,1222.0,DÉBAT SUR LE SUIVI DES ORDONNANCES,,
23 février 2022,2041.0,ENGAGEMENT DE LA FRANCE AU SAHEL,,
01 mars 2022,2219.0,DÉCISION DE LA RUSSIE DE FAIRE LA GUERRE À L’UKRAINE Déclaration du Gouvernement suivie d’un débat,,
12 octobre 2022,3810.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,Article 4,
05 décembre 2022,7813.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7821.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
13 décembre 2022,8293.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
13 décembre 2022,8294.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
