Date_seances,Num_page,Titre,Texte,Thème
10 janvier 2022,191.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,197.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,200.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,Article 1er,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
18 janvier 2022,559.0,DÉMOCRATISATION DU SPORT,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
18 janvier 2022,564.0,DÉMOCRATISATION DU SPORT,Article 1er,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,585.0,DÉMOCRATISATION DU SPORT,Après l’article 1er quater,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,601.0,DÉMOCRATISATION DU SPORT,Article 3,"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,602.0,DÉMOCRATISATION DU SPORT,Article 3 bis A (nouveau),"PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
18 janvier 2022,626.0,DÉMOCRATISATION DU SPORT,"RELATIF AU RENOUVELLEMENT  DU CADRE DE LA GOUVERNANCE  DES FÉDÉRATIONS, DE LEURS INSTANCES DÉCONCENTRÉES, DES LIGUES PROFESSIONNELLES ET DES ORGANISMES DE REPRÉSENTATION  ET DE CONCILIATION Article 5","PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
19 janvier 2022,670.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
25 janvier 2022,955.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
25 janvier 2022,962.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
