Date_seances,Num_page,Titre,Texte,Thème
12 janvier 2022,346.0,GESTION DE LA CRISE SANITAIRE,Article 1er  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
12 janvier 2022,395.0,GESTION DE LA CRISE SANITAIRE,Article 1er bis A (Supprimé),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
12 janvier 2022,410.0,GESTION DE LA CRISE SANITAIRE,Après l’article 1er octies,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
12 janvier 2022,413.0,GESTION DE LA CRISE SANITAIRE,Après l’article 1er octies,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
15 janvier 2022,479.0,GESTION DE LA CRISE SANITAIRE,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
26 janvier 2022,1013.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
26 janvier 2022,1026.0,DIALOGUE SOCIAL  AVEC LES PLATEFORMES,Article 3 (Supprimé),PROJET DE LOI RATIFIANT L’ORDONNANCE
02 février 2022,1259.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
09 février 2022,1503.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,PROPOSITION DE LOI RELATIVE AUX LOIS DE FINANCEMENT DE LA SÉCURITÉ SOCIALE
21 février 2022,1916.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 4 (nouveau),PROJET DE LOI RATIFIANT L’ORDONNANCE
21 février 2022,1918.0,FONCTION PUBLIQUE DES COMMUNES  DE POLYNÉSIE FRANÇAISE,Article 6 (nouveau),PROJET DE LOI RATIFIANT L’ORDONNANCE
06 juillet 2022,2264.0,DÉCLARATION DU GOUVERNEMENT SUIVIE D’UN DÉBAT,,
13 juillet 2022,2334.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
