Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,44.0,MEILLEURE PRISE EN COMPTE DE LA QUALITÉ DE LA VIE ÉTUDIANTE,,
11 janvier 2022,270.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,273.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,290.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
19 janvier 2022,697.0,DÉMOCRATISATION DU SPORT,Après l’article 9,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
19 janvier 2022,699.0,DÉMOCRATISATION DU SPORT,Après l’article 9,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
26 janvier 2022,1016.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
26 janvier 2022,1017.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
27 janvier 2022,1119.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,DE LA PRÉVENTION DES FAITS  DE HARCÈLEMENT SCOLAIRE  ET DE LA PRISE EN CHARGE DES VICTIMES Article 1er,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
01 février 2022,1196.0,"MENACES QUE LES THÉORIES DU WOKISME FONT PESER  SUR L’UNIVERSITÉ,  L’ENSEIGNEMENT SUPÉRIEUR  ET LES LIBERTÉS ACADÉMIQUES",,
