Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,55.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME EN FRANCE,,
04 janvier 2022,56.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME EN FRANCE,,
06 janvier 2022,169.0,LE PARTAGE DU TRAVAIL :  UN OUTIL POUR LE PLEIN EMPLOI ? Débat organisé à la demande  du groupe communiste républicain  citoyen et écologiste,,
06 janvier 2022,170.0,LE PARTAGE DU TRAVAIL :  UN OUTIL POUR LE PLEIN EMPLOI ? Débat organisé à la demande  du groupe communiste républicain  citoyen et écologiste,,
22 février 2022,1935.0,MISES AU POINT AU SUJET DE VOTES,,PROPOSITION DE LOI VISANT À PERMETTRE L’IMPLANTATION DE PANNEAUX PHOTOVOLTAÏQUES SUR DES FRICHES
22 février 2022,1939.0,IMPLANTATION DE PANNEAUX PHOTOVOLTAÏQUES  SUR DES SITES DÉGRADÉS,Article unique,PROPOSITION DE LOI VISANT À PERMETTRE L’IMPLANTATION DE PANNEAUX PHOTOVOLTAÏQUES SUR DES FRICHES
19 juillet 2022,2359.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT LA RATIFICATION DE LA CONVENTION DU CONSEIL DE L’EUROPE CONTRE LE TRAFIC D’ORGANES HUMAINS
19 juillet 2022,2360.0,ACCORD ENTRE LA FRANCE ET LE QATAR RELATIF AU STATUT DE LEURS FORCES Adoption définitive d’un projet de loi dans le texte de la commission,Article unique (Non modifié),PROJET DE LOI AUTORISANT LA RATIFICATION DE LA CONVENTION DU CONSEIL DE L’EUROPE CONTRE LE TRAFIC D’ORGANES HUMAINS
20 juillet 2022,2417.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
20 octobre 2022,4121.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME,Article 3,ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
28 novembre 2022,7017.0,LOI DE FINANCES POUR 2023,Article 41 quinquies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
03 novembre 2022,4487.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
03 novembre 2022,4536.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er C  (nouveau) (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4538.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4546.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4561.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er  (suite),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4562.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er  (suite),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4589.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 5,PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
04 novembre 2022,4625.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,"MESURES TENDANT À L’ACCÉLÉRATION  DU DÉVELOPPEMENT DE L’ÉNERGIE SOLAIRE, THERMIQUE, PHOTOVOLTAÏQUE  ET AGRIVOLTAÏQUE Article 9  (suite)",SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4630.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 10,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4683.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 11 decies  (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4695.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 12,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4718.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 16 ter,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4734.0,MISE AU POINT AU SUJET DE VOTES,Article 16 octies  (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4743.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 16 duodecies,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4751.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 17,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 novembre 2022,4781.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 18 bis  (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
04 novembre 2022,4797.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 21,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
04 novembre 2022,4799.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 21,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
04 novembre 2022,4802.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 21,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
05 décembre 2022,7971.0,LOI DE FINANCES POUR 2023,Article 33,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7983.0,LOI DE FINANCES POUR 2023,Après l’article 37 A,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
06 décembre 2022,8099.0,DÉBAT PRÉALABLE À LA RÉUNION  DU CONSEIL EUROPÉEN  DES 15 ET 16 DÉCEMBRE 2022,Article 2,PROPOSITION DE LOI SUR LE DÉROULEMENT DES ÉLECTIONS SÉNATORIALES
07 décembre 2022,8126.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
