Date_seances,Num_page,Titre,Texte,Thème
18 janvier 2022,560.0,DÉMOCRATISATION DU SPORT,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
19 janvier 2022,734.0,DÉMOCRATISATION DU SPORT,Après l’article 11,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
27 janvier 2022,1109.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
27 janvier 2022,1116.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,DE LA PRÉVENTION DES FAITS  DE HARCÈLEMENT SCOLAIRE  ET DE LA PRISE EN CHARGE DES VICTIMES Article 1er,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1117.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,DE LA PRÉVENTION DES FAITS  DE HARCÈLEMENT SCOLAIRE  ET DE LA PRISE EN CHARGE DES VICTIMES Article 1er,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1126.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 3,PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1132.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 3 bis (Supprimé),PROPOSITION DE LOI VISANT À COMBATTRE LE HARCÈLEMENT SCOLAIRE ET LE CYBERHARCÈLEMENT TITRE IER
27 janvier 2022,1133.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 3 bis (Supprimé),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
27 janvier 2022,1173.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 6 (Supprimé),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
27 janvier 2022,1175.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 7 (Supprimé),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
27 janvier 2022,1176.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 8 (Suppression maintenue) Vote sur l’ensemble,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
17 février 2022,1857.0,COMBAT CONTRE  LE HARCÈLEMENT SCOLAIRE,Article 5 (Non modifié),DISCUSSION EN NOUVELLE LECTURE D’UNE PROPOSITION DE LOI
25 octobre 2022,4181.0,QUESTIONS ORALES,,
25 octobre 2022,4182.0,QUESTIONS ORALES,,
25 novembre 2022,6816.0,LOI DE FINANCES POUR 2023,Après l’article 46 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7526.0,LOI DE FINANCES POUR 2023,Article 44 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7535.0,LOI DE FINANCES POUR 2023,Article 44 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7538.0,LOI DE FINANCES POUR 2023,Article 44 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7550.0,LOI DE FINANCES POUR 2023,Article 44 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7551.0,LOI DE FINANCES POUR 2023,Article 44 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7688.0,LOI DE FINANCES POUR 2023,Après l’article 41 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7689.0,LOI DE FINANCES POUR 2023,Après l’article 41 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 décembre 2022,8208.0,LUTTE CONTRE LA PRÉCARITÉ  DES ACCOMPAGNANTS D’ÉLÈVES  EN SITUATION DE HANDICAP  ET DES ASSISTANTS D’ÉDUCATION,Article unique,ADOPTION DÉFINITIVE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
