Date_seances,Num_page,Titre,Texte,Thème
11 janvier 2022,265.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
15 janvier 2022,469.0,GESTION DE LA CRISE SANITAIRE,,ADOPTION EN NOUVELLE LECTURE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
15 janvier 2022,470.0,GESTION DE LA CRISE SANITAIRE,,ADOPTION EN NOUVELLE LECTURE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
19 janvier 2022,684.0,RENFORCEMENT DU DROIT  À L’AVORTEMENT,,REJET EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI
26 janvier 2022,1027.0,DIALOGUE SOCIAL  AVEC LES PLATEFORMES,Article 3 (Supprimé),PROJET DE LOI RATIFIANT L’ORDONNANCE
26 janvier 2022,1075.0,RÉFORME DE L’ADOPTION,Article 9,ADOPTION EN NOUVELLE LECTURE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
16 février 2022,1820.0,RENFORCEMENT DU DROIT  À L’AVORTEMENT,Article 3,REJET EN NOUVELLE LECTURE D’UNE PROPOSITION DE LOI
20 juillet 2022,2459.0,VEILLE ET SÉCURITÉ SANITAIRE  EN MATIÈRE DE LUTTE  CONTRE LA COVID- 19,Article 2  (suite),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
04 octobre 2022,3475.0,ABYSSES : LA DERNIÈRE FRONTIÈRE ? Débat sur les conclusions du rapport  d’une mission d’information,,
05 octobre 2022,3520.0,PLACE DES OUTRE-MER  DANS LA STRATÉGIE MARITIME NATIONALE Débat organisé à la demande  de la délégation sénatoriale aux outre-mer,,
05 octobre 2022,3530.0,PLACE DES OUTRE-MER  DANS LA STRATÉGIE MARITIME NATIONALE Débat organisé à la demande  de la délégation sénatoriale aux outre-mer,,
05 octobre 2022,3534.0,RÉGIME DE RÉÉLECTION  DES JUGES CONSULAIRES  DANS LES TRIBUNAUX DE COMMERCE Adoption en procédure accélérée d’une proposition de loi  dans le texte de la commission,,
19 octobre 2022,4049.0,DROIT FONDAMENTAL À L’IVG  ET À LA CONTRACEPTION,,REJET D’UNE PROPOSITION DE LOI CONSTITUTIONNELLE
16 novembre 2022,5516.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
18 novembre 2022,5814.0,LOI DE FINANCES POUR 2023,Article 3 septies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5816.0,LOI DE FINANCES POUR 2023,Après l’article 3 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5828.0,LOI DE FINANCES POUR 2023,Après l’article 3 nonies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5899.0,LOI DE FINANCES POUR 2023,Après l’article 3 octodecies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5900.0,LOI DE FINANCES POUR 2023,Après l’article 3 octodecies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5906.0,LOI DE FINANCES POUR 2023,Après l’article 3 octodecies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5925.0,LOI DE FINANCES POUR 2023,Après l’article 4,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5930.0,LOI DE FINANCES POUR 2023,Après l’article 4,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5931.0,LOI DE FINANCES POUR 2023,Après l’article 4,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5951.0,LOI DE FINANCES POUR 2023,Après l’article 4 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,5956.0,LOI DE FINANCES POUR 2023,Après l’article 4 quinquies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
