Date_seances,Num_page,Titre,Texte,Thème
06 juillet 2022,2272.0,DÉCLARATION DU GOUVERNEMENT SUIVIE D’UN DÉBAT,,
28 juillet 2022,2674.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Revalorisation anticipée  de prestations sociales Article 5,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
28 juillet 2022,2679.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Revalorisation anticipée  de prestations sociales Article 5,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
28 juillet 2022,2701.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 6,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
28 juillet 2022,2703.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 6,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
28 juillet 2022,2704.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 6,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
28 juillet 2022,2706.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 6,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
20 octobre 2022,4081.0,AIDE UNIVERSELLE D’URGENCE  POUR LES VICTIMES  DE VIOLENCES CONJUGALES,,ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
20 octobre 2022,4093.0,AIDE UNIVERSELLE D’URGENCE  POUR LES VICTIMES  DE VIOLENCES CONJUGALES,Article 1er,PROPOSITION DE LOI CRÉANT UNE AIDE UNIVERSELLE D’URGENCE POUR LES VICTIMES DE VIOLENCES CONJUGALES
20 octobre 2022,4095.0,AIDE UNIVERSELLE D’URGENCE  POUR LES VICTIMES  DE VIOLENCES CONJUGALES,Article 2,PROPOSITION DE LOI CRÉANT UNE AIDE UNIVERSELLE D’URGENCE POUR LES VICTIMES DE VIOLENCES CONJUGALES
