Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,41.0,MEILLEURE PRISE EN COMPTE DE LA QUALITÉ DE LA VIE ÉTUDIANTE,,
04 janvier 2022,42.0,MEILLEURE PRISE EN COMPTE DE LA QUALITÉ DE LA VIE ÉTUDIANTE,,
12 janvier 2022,323.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
15 janvier 2022,473.0,GESTION DE LA CRISE SANITAIRE,,ADOPTION EN NOUVELLE LECTURE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
01 février 2022,1236.0,MIEUX PROTÉGER  NOTRE PATRIMOINE SCIENTIFIQUE  ET NOS LIBERTÉS ACADÉMIQUES,,
02 février 2022,1272.0,ÉNERGIE ET POUVOIR D’ACHAT :  QUEL IMPACT DE LA POLITIQUE  DU GOUVERNEMENT ? Débat d’actualité,,
03 février 2022,1336.0,QUELLE RÉGLEMENTATION POUR LES PRODUITS ISSUS DU CHANVRE ? Débat organisé à la demande du groupe Écologiste - Solidarité et Territoires,,
22 février 2022,1986.0,INNOVATION EN SANTÉ,Article 9 (Non modifié),ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
22 février 2022,1992.0,INNOVATION EN SANTÉ,Article 5,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,1994.0,INNOVATION EN SANTÉ,Article 9,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,1995.0,INNOVATION EN SANTÉ,Article 9,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,1997.0,INNOVATION EN SANTÉ,Article 11,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,1999.0,INNOVATION EN SANTÉ,Article 13,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,2004.0,INNOVATION EN SANTÉ,Article 16,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,2011.0,INNOVATION EN SANTÉ,Article 20,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
22 février 2022,2012.0,INNOVATION EN SANTÉ,Article 22,PROPOSITION DE LOI RELATIVE À L’INNOVATION EN SANTÉ TITRE IER
