Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,19.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
04 janvier 2022,35.0,"TROIS ANS APRÈS LA LOI « ASILE ET IMMIGRATION », QUEL EST LE NIVEAU RÉEL DE MAÎTRISE DE L’IMMIGRATION PAR LES POUVOIRS PUBLICS ?",,
01 février 2022,1241.0,MIEUX PROTÉGER  NOTRE PATRIMOINE SCIENTIFIQUE  ET NOS LIBERTÉS ACADÉMIQUES,,
15 février 2022,1683.0,QUESTIONS ORALES,,
22 février 2022,1971.0,BILAN DE LA POLITIQUE  ÉDUCATIVE FRANÇAISE,Article 9 (Non modifié),PROPOSITION DE LOI VISANT À MODERNISER LA RÉGULATION DU MARCHÉ DE L’ART
25 février 2022,2199.0,PROCÈS-VERBAL,,PROPOSITION DE LOI VISANT À AMÉLIORER LES CONDITIONS SANITAIRES D’ORGANISATION DES ÉLECTIONS LÉGISLATIVES DANS LE CONTEXTE LIÉ À L’ÉPIDÉMIE DE
25 octobre 2022,4198.0,QUESTIONS ORALES  (SUITE),,
14 novembre 2022,5405.0,ENSEIGNEMENT PROFESSIONNEL,,
28 novembre 2022,6922.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
28 novembre 2022,6950.0,LOI DE FINANCES POUR 2023,Article 49 (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
