Date_seances,Num_page,Titre,Texte,Thème
11 janvier 2022,252.0,GESTION DE LA CRISE SANITAIRE Discussion en procédure accélérée d’un projet de loi  dans le texte de la commission,Avant l’article 1er,PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,277.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
11 janvier 2022,291.0,GESTION DE LA CRISE SANITAIRE Suite de la discussion en procédure accélérée  d’un projet de loi,Article 1er (suite),PROJET DE LOI RENFORÇANT LES OUTILS DE GESTION DE LA CRISE SANITAIRE ET MODIFIANT LE CODE DE LA SANTÉ PUBLIQUE
12 janvier 2022,389.0,GESTION DE LA CRISE SANITAIRE,Après l’article 1er,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
09 février 2022,1611.0,"DIFFÉRENCIATION, DÉCENTRALISATION, DÉCONCENTRATION ET SIMPLIFICATION",Article 86,"PROJET DE LOI RELATIF À LA DIFFÉRENCIATION, LA DÉCENTRALISATION, LA DÉCONCENTRATION ET PORTANT DIVERSES MESURES DE SIMPLIFICATION DE L’ACTION PUBLIQUE LOCALE TITRE IER"
11 octobre 2022,3706.0,ORIENTATION ET PROGRAMMATION  DU MINISTÈRE DE L’INTÉRIEUR Suite de la discussion en procédure accélérée  d’un projet de loi dans le texte de la commission,Article 1er et rapport annexé  (suite),PROJET DE LOI D’ORIENTATION ET DE PROGRAMMATION DU MINISTÈRE DE L’INTÉRIEUR TITRE IER
19 octobre 2022,4057.0,DROIT FONDAMENTAL À L’IVG  ET À LA CONTRACEPTION,Article unique,PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE ET À LA CONTRACEPTION
19 octobre 2022,4058.0,DROIT FONDAMENTAL À L’IVG  ET À LA CONTRACEPTION,Article unique,PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE ET À LA CONTRACEPTION
19 octobre 2022,4059.0,DROIT FONDAMENTAL À L’IVG  ET À LA CONTRACEPTION,Article unique,PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE ET À LA CONTRACEPTION
15 novembre 2022,5462.0,SITUATION ET PERSPECTIVES  DES COLLECTIVITÉS TERRITORIALES,,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
22 novembre 2022,6301.0,LOI DE FINANCES POUR 2023,Article 9 bis (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6305.0,LOI DE FINANCES POUR 2023,Article 9 bis (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6311.0,LOI DE FINANCES POUR 2023,Après l’article 9 bis,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6496.0,LOI DE FINANCES POUR 2023,Article 12,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
23 novembre 2022,6501.0,LOI DE FINANCES POUR 2023,Article 12,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
06 décembre 2022,8091.0,DÉROULEMENT DES ÉLECTIONS SÉNATORIALES,Article 2,PROPOSITION DE LOI SUR LE DÉROULEMENT DES ÉLECTIONS SÉNATORIALES
