Date_seances,Num_page,Titre,Texte,Thème
27 janvier 2022,1147.0,GOUVERNANCE DE L’AEFE  ET CRÉATION DES INSTITUTS RÉGIONAUX  DE FORMATION,Article 1er,PROPOSITION DE LOI VISANT À FAIRE ÉVOLUER LA GOUVERNANCE DE L’AGENCE POUR L’ENSEIGNEMENT FRANÇAIS À L’ÉTRANGER ET À CRÉER LES INSTITUTS RÉGIONAUX DE FORMATION
27 janvier 2022,1148.0,GOUVERNANCE DE L’AEFE  ET CRÉATION DES INSTITUTS RÉGIONAUX  DE FORMATION,Article 2,PROPOSITION DE LOI VISANT À FAIRE ÉVOLUER LA GOUVERNANCE DE L’AGENCE POUR L’ENSEIGNEMENT FRANÇAIS À L’ÉTRANGER ET À CRÉER LES INSTITUTS RÉGIONAUX DE FORMATION
27 janvier 2022,1149.0,GOUVERNANCE DE L’AEFE  ET CRÉATION DES INSTITUTS RÉGIONAUX  DE FORMATION,Article 2,PROPOSITION DE LOI VISANT À FAIRE ÉVOLUER LA GOUVERNANCE DE L’AGENCE POUR L’ENSEIGNEMENT FRANÇAIS À L’ÉTRANGER ET À CRÉER LES INSTITUTS RÉGIONAUX DE FORMATION
27 janvier 2022,1155.0,GOUVERNANCE DE L’AEFE  ET CRÉATION DES INSTITUTS RÉGIONAUX  DE FORMATION,Article 3,PROPOSITION DE LOI VISANT À FAIRE ÉVOLUER LA GOUVERNANCE DE L’AGENCE POUR L’ENSEIGNEMENT FRANÇAIS À L’ÉTRANGER ET À CRÉER LES INSTITUTS RÉGIONAUX DE FORMATION
27 janvier 2022,1157.0,GOUVERNANCE DE L’AEFE  ET CRÉATION DES INSTITUTS RÉGIONAUX  DE FORMATION,Article 3,PROPOSITION DE LOI VISANT À FAIRE ÉVOLUER LA GOUVERNANCE DE L’AGENCE POUR L’ENSEIGNEMENT FRANÇAIS À L’ÉTRANGER ET À CRÉER LES INSTITUTS RÉGIONAUX DE FORMATION
27 janvier 2022,1161.0,GOUVERNANCE DE L’AEFE  ET CRÉATION DES INSTITUTS RÉGIONAUX  DE FORMATION,Article 4,PROPOSITION DE LOI VISANT À FAIRE ÉVOLUER LA GOUVERNANCE DE L’AGENCE POUR L’ENSEIGNEMENT FRANÇAIS À L’ÉTRANGER ET À CRÉER LES INSTITUTS RÉGIONAUX DE FORMATION
08 novembre 2022,4945.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 7 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 novembre 2022,4948.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 7 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7864.0,LOI DE FINANCES POUR 2023,Article 42,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7874.0,LOI DE FINANCES POUR 2023,Article 42,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7875.0,LOI DE FINANCES POUR 2023,Article 42,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7876.0,LOI DE FINANCES POUR 2023,Article 42,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
13 décembre 2022,8273.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
