Date_seances,Num_page,Titre,Texte,Thème
05 janvier 2022,139.0,OUBLIÉS DU SÉGUR DE LA SANTÉ ET INVESTISSEMENTS LIÉS AU SÉGUR À L’HÔPITAL,,
25 janvier 2022,982.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 3,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
25 janvier 2022,983.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 3,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
20 octobre 2022,4091.0,AIDE UNIVERSELLE D’URGENCE  POUR LES VICTIMES  DE VIOLENCES CONJUGALES,,ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
15 novembre 2022,5481.0,SOUTIEN AUX ÉDILES  VICTIMES D’AGRESSION,,SUITE DE LA DISCUSSION ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
15 novembre 2022,5482.0,SOUTIEN AUX ÉDILES  VICTIMES D’AGRESSION,,"PROPOSITION DE LOI VISANT À PERMETTRE AUX DIFFÉRENTES ASSOCIATIONS D’ÉLUS DE SE CONSTITUER PARTIE CIVILE POUR SOUTENIR PLEINEMENT, AU PÉNAL, UN ÉDILE VICTIME D’AGRESSION"
19 novembre 2022,6009.0,LOI DE FINANCES POUR 2023,Après l’article sexdecies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,6014.0,LOI DE FINANCES POUR 2023,Après l’article sexdecies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,6019.0,LOI DE FINANCES POUR 2023,Après l’article 4 octodecies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
19 novembre 2022,6020.0,LOI DE FINANCES POUR 2023,Après l’article 4 octodecies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
08 novembre 2022,5023.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 11,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
09 novembre 2022,5094.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 17,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
