Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,15.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
20 janvier 2022,821.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS GÉNÉRALES Article 1er,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,822.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS GÉNÉRALES Article 1er,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
25 janvier 2022,915.0,QUESTIONS ORALES,,
25 janvier 2022,916.0,QUESTIONS ORALES,,
17 février 2022,1887.0,ACCÈS DES EXPERTS FORESTIERS  AUX DONNÉES CADASTRALES,Article 8 (Supprimé) Article 9,ADOPTION DÉFINITIVE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
24 février 2022,2155.0,CERTIFICATION DE CYBERSÉCURITÉ DES PLATEFORMES NUMÉRIQUES Adoption définitive en deuxième lecture d’une proposi-tion de loi dans le texte de la commission,Article unique (Non modifié),PROPOSITION DE LOI RELATIVE AU MONDE COMBATTANT
26 juillet 2022,2521.0,MISES AU POINT AU SUJET DE VOTES,,ADOPTION DES CONCLUSIONS D’UNE COMMISSION MIXTE PARITAIRE SUR UNE PROPOSITION DE LOI
02 août 2022,3001.0,QUESTIONS ORALES,,
05 octobre 2022,3559.0,CINQ PLANS POUR RECONSTRUIRE  LA SOUVERAINETÉ ÉCONOMIQUE Débat sur les conclusions d’un rapport d’information  de la commission des affaires économiques,Articles 1er et 2 (supprimés) Article 3,PROPOSITION DE LOI VISANT À ACTUALISER LE RÉGIME DE RÉÉLECTION DES JUGES CONSULAIRES DANS LES TRIBUNAUX DE COMMERCE
05 octobre 2022,3560.0,CINQ PLANS POUR RECONSTRUIRE  LA SOUVERAINETÉ ÉCONOMIQUE Débat sur les conclusions d’un rapport d’information  de la commission des affaires économiques,Articles 1er et 2 (supprimés) Article 3,PROPOSITION DE LOI VISANT À ACTUALISER LE RÉGIME DE RÉÉLECTION DES JUGES CONSULAIRES DANS LES TRIBUNAUX DE COMMERCE
06 octobre 2022,3575.0,QUESTIONS ORALES,,
06 octobre 2022,3576.0,QUESTIONS ORALES,,
20 octobre 2022,4141.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME,Article unique,PROPOSITION DE LOI EN FAVEUR DU DÉVELOPPEMENT DE L’AGRIVOLTAÏSME
20 octobre 2022,4142.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME,Article unique,PROPOSITION DE LOI EN FAVEUR DU DÉVELOPPEMENT DE L’AGRIVOLTAÏSME
20 octobre 2022,4145.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME,Article unique,PROPOSITION DE LOI EN FAVEUR DU DÉVELOPPEMENT DE L’AGRIVOLTAÏSME
03 novembre 2022,4527.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 3  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4528.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 3  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4532.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 3  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4539.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
18 novembre 2022,5806.0,LOI DE FINANCES POUR 2023,Article 3 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5807.0,LOI DE FINANCES POUR 2023,Article 3 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5808.0,LOI DE FINANCES POUR 2023,Article 3 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5810.0,LOI DE FINANCES POUR 2023,Article 3 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5812.0,LOI DE FINANCES POUR 2023,Article 3 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5813.0,LOI DE FINANCES POUR 2023,Après l’article 3 sexies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6086.0,LOI DE FINANCES POUR 2023,DISPOSITIONS RELATIVES AUX RESSOURCES Article 5,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6128.0,LOI DE FINANCES POUR 2023,Après l’article 5  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6131.0,LOI DE FINANCES POUR 2023,Après l’article 5  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
21 novembre 2022,6139.0,LOI DE FINANCES POUR 2023,Après l’article 5  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
24 novembre 2022,6711.0,LOI DE FINANCES POUR 2023,Article 51  (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7080.0,QUESTIONS ORALES,,
30 novembre 2022,7276.0,LOI DE FINANCES POUR 2023,Article 45,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7277.0,LOI DE FINANCES POUR 2023,Article 45,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7278.0,LOI DE FINANCES POUR 2023,Article 45,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7279.0,LOI DE FINANCES POUR 2023,Article 45,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7284.0,LOI DE FINANCES POUR 2023,Article 45,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7295.0,LOI DE FINANCES POUR 2023,Article 45,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7296.0,LOI DE FINANCES POUR 2023,Article 45,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7321.0,LOI DE FINANCES POUR 2023,Article 45 bis (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
