Date_seances,Num_page,Titre,Texte,Thème
10 janvier 2022,184.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,185.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,189.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,192.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,,
10 janvier 2022,198.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,Article 1er,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
10 janvier 2022,199.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,Article 1er,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
10 janvier 2022,200.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,Article 1er,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
10 janvier 2022,201.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,Article 2,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
10 janvier 2022,202.0,CIRCULATION ET RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES Adoption d’une proposition de loi  dans le texte de la commission,Article 2,PROPOSITION DE LOI RELATIVE À LA CIRCULATION ET AU RETOUR DES BIENS CULTURELS APPARTENANT AUX COLLECTIONS PUBLIQUES
19 janvier 2022,674.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
19 janvier 2022,675.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
20 janvier 2022,816.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS GÉNÉRALES Article 1er,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,821.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,DISPOSITIONS GÉNÉRALES Article 1er,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
09 février 2022,1642.0,CONTRÔLE PARENTAL SUR INTERNET,Article 1er bis (Non modifié),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
09 février 2022,1643.0,CONTRÔLE PARENTAL SUR INTERNET,Article 1er bis (Non modifié),PROPOSITION DE LOI VISANT À ENCOURAGER L’USAGE DU CONTRÔLE PARENTAL SUR CERTAINS ÉQUIPEMENTS ET SERVICES VENDUS EN FRANCE ET PERMETTANT D’ACCÉDER À INTERNET
09 février 2022,1647.0,CONTRÔLE PARENTAL SUR INTERNET,Article 1er,PROPOSITION DE LOI VISANT À ENCOURAGER L’USAGE DU CONTRÔLE PARENTAL SUR CERTAINS ÉQUIPEMENTS ET SERVICES VENDUS EN FRANCE ET PERMETTANT D’ACCÉDER À INTERNET
09 février 2022,1648.0,CONTRÔLE PARENTAL SUR INTERNET,Article 1er,PROPOSITION DE LOI VISANT À ENCOURAGER L’USAGE DU CONTRÔLE PARENTAL SUR CERTAINS ÉQUIPEMENTS ET SERVICES VENDUS EN FRANCE ET PERMETTANT D’ACCÉDER À INTERNET
22 février 2022,1950.0,RÉGULATION DU MARCHÉ DE L’ART,Article unique,ADOPTION DÉFINITIVE EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
22 février 2022,1952.0,RÉGULATION DU MARCHÉ DE L’ART,Article unique,PROPOSITION DE LOI VISANT À MODERNISER LA RÉGULATION DU MARCHÉ DE L’ART
20 juillet 2022,2421.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
20 juillet 2022,2422.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
04 octobre 2022,3458.0,"PRISE EN COMPTE DES TERRITOIRES, DES SAVOIR-FAIRE ET DES CULTURES DANS L’ÉLABORATION  DE RÉGLEMENTATIONS EUROPÉENNES D’HARMONISATION Débat organisé à la demande  de la commission des affaires européennes",,
04 octobre 2022,3459.0,"PRISE EN COMPTE DES TERRITOIRES, DES SAVOIR-FAIRE ET DES CULTURES DANS L’ÉLABORATION  DE RÉGLEMENTATIONS EUROPÉENNES D’HARMONISATION Débat organisé à la demande  de la commission des affaires européennes",,
04 octobre 2022,3460.0,"PRISE EN COMPTE DES TERRITOIRES, DES SAVOIR-FAIRE ET DES CULTURES DANS L’ÉLABORATION  DE RÉGLEMENTATIONS EUROPÉENNES D’HARMONISATION Débat organisé à la demande  de la commission des affaires européennes",,
05 octobre 2022,3550.0,CINQ PLANS POUR RECONSTRUIRE  LA SOUVERAINETÉ ÉCONOMIQUE Débat sur les conclusions d’un rapport d’information  de la commission des affaires économiques,Articles 1er et 2 (supprimés) Article 3,PROPOSITION DE LOI VISANT À ACTUALISER LE RÉGIME DE RÉÉLECTION DES JUGES CONSULAIRES DANS LES TRIBUNAUX DE COMMERCE
05 octobre 2022,3552.0,CINQ PLANS POUR RECONSTRUIRE  LA SOUVERAINETÉ ÉCONOMIQUE Débat sur les conclusions d’un rapport d’information  de la commission des affaires économiques,Articles 1er et 2 (supprimés) Article 3,PROPOSITION DE LOI VISANT À ACTUALISER LE RÉGIME DE RÉÉLECTION DES JUGES CONSULAIRES DANS LES TRIBUNAUX DE COMMERCE
05 octobre 2022,3554.0,CINQ PLANS POUR RECONSTRUIRE  LA SOUVERAINETÉ ÉCONOMIQUE Débat sur les conclusions d’un rapport d’information  de la commission des affaires économiques,Articles 1er et 2 (supprimés) Article 3,PROPOSITION DE LOI VISANT À ACTUALISER LE RÉGIME DE RÉÉLECTION DES JUGES CONSULAIRES DANS LES TRIBUNAUX DE COMMERCE
06 octobre 2022,3588.0,QUESTIONS ORALES,,
06 octobre 2022,3589.0,QUESTIONS ORALES,,
26 octobre 2022,4297.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
26 octobre 2022,4298.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
