Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,77.0,POLITIQUE MISE EN PLACE PAR LE GOUVERNEMENT POUR CONFORTER LA SOUVERAINETÉ MARITIME FRANÇAISE SUR LES OCÉANS ET GARANTIR NOS INTÉRÊTS ÉCONOMIQUES ET STRATÉGIQUES,,
18 janvier 2022,628.0,DÉMOCRATISATION DU SPORT,"RELATIF AU RENOUVELLEMENT  DU CADRE DE LA GOUVERNANCE  DES FÉDÉRATIONS, DE LEURS INSTANCES DÉCONCENTRÉES, DES LIGUES PROFESSIONNELLES ET DES ORGANISMES DE REPRÉSENTATION  ET DE CONCILIATION Article 5","PROPOSITION DE LOI VISANT À DÉMOCRATISER LE SPORT, À AMÉLIORER LA GOUVERNANCE DES FÉDÉRATIONS SPORTIVES ET À SÉCURISER LES CONDITIONS D’EXERCICE DU SPORT PROFESSIONNEL TITRE IER"
19 janvier 2022,736.0,DÉMOCRATISATION DU SPORT,Après l’article 11,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
19 janvier 2022,737.0,DÉMOCRATISATION DU SPORT,Après l’article 11,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
19 janvier 2022,739.0,DÉMOCRATISATION DU SPORT,Après l’article 11,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
19 janvier 2022,742.0,DÉMOCRATISATION DU SPORT,Article 11 bis A (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
19 janvier 2022,743.0,DÉMOCRATISATION DU SPORT,Article 11 bis A (nouveau),SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
19 janvier 2022,751.0,DÉMOCRATISATION DU SPORT,Après l’article 11 quater,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
19 janvier 2022,752.0,DÉMOCRATISATION DU SPORT,Après l’article 11 quater,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
19 janvier 2022,753.0,DÉMOCRATISATION DU SPORT,Après l’article 11 quater,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
15 février 2022,1694.0,QUESTIONS ORALES,,
15 février 2022,1695.0,QUESTIONS ORALES,,
22 février 2022,1940.0,IMPLANTATION DE PANNEAUX PHOTOVOLTAÏQUES  SUR DES SITES DÉGRADÉS,Article unique,PROPOSITION DE LOI VISANT À PERMETTRE L’IMPLANTATION DE PANNEAUX PHOTOVOLTAÏQUES SUR DES FRICHES
05 octobre 2022,3529.0,PLACE DES OUTRE-MER  DANS LA STRATÉGIE MARITIME NATIONALE Débat organisé à la demande  de la délégation sénatoriale aux outre-mer,,
03 novembre 2022,4482.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
03 novembre 2022,4483.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
03 novembre 2022,4502.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,"MESURES VISANT À RENFORCER LA PLANIFICATION TERRITORIALE DU DÉVELOPPEMENT DES ÉNERGIES RENOUVELABLES, À AMÉLIORER LA CONCERTATION AUTOUR DE CES PROJETS ET À FAVORISER LA PARTICIPATION DES COLLECTIVITÉS TERRITORIALES  À LEUR IMPLANTATION  (Division nouvelle) Article 1er A  (nouveau)",PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4503.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,"MESURES VISANT À RENFORCER LA PLANIFICATION TERRITORIALE DU DÉVELOPPEMENT DES ÉNERGIES RENOUVELABLES, À AMÉLIORER LA CONCERTATION AUTOUR DE CES PROJETS ET À FAVORISER LA PARTICIPATION DES COLLECTIVITÉS TERRITORIALES  À LEUR IMPLANTATION  (Division nouvelle) Article 1er A  (nouveau)",PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4504.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er A  (nouveau) (suite),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4505.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er A  (nouveau) (suite),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4507.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er A  (nouveau) (suite),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4508.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er A  (nouveau) (suite),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4509.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er A  (nouveau) (suite),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4510.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er A  (nouveau) (suite),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4511.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er A  (nouveau) (suite),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4536.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er C  (nouveau) (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4540.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4543.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4545.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4546.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4547.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4549.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4551.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er B  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4552.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Après l’article 1er A,PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4553.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er B  (nouveau),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4554.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 1er D  (nouveau),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4555.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,MESURES TRANSVERSALES DE SIMPLIFICATION POUR ACCÉLÉRER LES PROJETS D’ÉNERGIES RENOUVELABLES ET LES PROJETS INDUSTRIELS NÉCESSAIRES À LA TRANSITION ÉNERGÉTIQUE Article 1er,PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
