Date_seances,Num_page,Titre,Texte,Thème
25 janvier 2022,922.0,QUESTIONS ORALES,,
25 janvier 2022,923.0,QUESTIONS ORALES,,
25 janvier 2022,924.0,QUESTIONS ORALES,,
25 janvier 2022,925.0,QUESTIONS ORALES,,
25 janvier 2022,942.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
25 janvier 2022,962.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
25 janvier 2022,963.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
25 janvier 2022,964.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
25 janvier 2022,966.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
25 janvier 2022,969.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er bis,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
