Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,47.0,MEILLEURE PRISE EN COMPTE DE LA QUALITÉ DE LA VIE ÉTUDIANTE,,
12 janvier 2022,320.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
12 janvier 2022,321.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
20 janvier 2022,861.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Après l’article 6,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,864.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Article 8,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
20 janvier 2022,869.0,PROTECTION DES LANCEURS D’ALERTE  ET RÔLE DU DÉFENSEUR DES DROITS,Après l’article 11 ter,PROPOSITION DE LOI VISANT À AMÉLIORER LA PROTECTION DES LANCEURS D’ALERTE TITRE IER
25 janvier 2022,955.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
25 janvier 2022,957.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
25 janvier 2022,959.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
25 janvier 2022,960.0,HARKIS ET AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE,Article 1er,PROJET DE LOI PORTANT RECONNAISSANCE DE LA NATION ENVERS LES HARKIS ET LES AUTRES PERSONNES RAPATRIÉES D’ALGÉRIE ANCIENNEMENT DE STATUT CIVIL DE DROIT LOCAL ET RÉPARATION DES PRÉJUDICES SUBIS PAR CEUX-CI ET LEURS FAMILLES DU FAIT DE L’INDIGNITÉ DE LEURS CONDITIONS D’ACCUEIL ET DE SÉJOUR DANS CERTAINES STRUCTURES SUR LE TERRITOIRE FRANÇAIS
