Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,22.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
05 janvier 2022,122.0,DÉFENSE EXTÉRIEURE CONTRE L’INCENDIE : ASSURER LA PROTECTION DES PERSONNES SANS NUIRE AUX TERRITOIRES,,
25 janvier 2022,916.0,QUESTIONS ORALES,,
25 janvier 2022,917.0,QUESTIONS ORALES,,
26 janvier 2022,1034.0,MARCHÉ DE L’ASSURANCE EMPRUNTEUR,Article 3 (Supprimé),ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
22 février 2022,1947.0,RÉGULATION DU MARCHÉ DE L’ART,Article unique,ADOPTION DÉFINITIVE EN DEUXIÈME LECTURE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
13 juillet 2022,2341.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
13 juillet 2022,2342.0,QUESTIONS D’ACTUALITÉ AU GOUVERNEMENT,,
01 août 2022,2892.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,DISPOSITIONS RELATIVES AUX RESSOURCES Avant l’article 1er A,PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
01 août 2022,2893.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,DISPOSITIONS RELATIVES AUX RESSOURCES Avant l’article 1er A,PROJET DE LOI DE FINANCES RECTIFICATIVE POUR
02 août 2022,3088.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 4 ter (nouveau),SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3091.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 4 ter (nouveau),SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3094.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Article 4 ter (nouveau),SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3213.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Après l’article 9 A,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
06 octobre 2022,3570.0,QUESTIONS ORALES,,
18 octobre 2022,3964.0,FINANCES LOCALES,Après l’article unique,PROPOSITION DE LOI VISANT À LA CONSOLIDATION ET À LA PROFESSIONNALISATION DE LA FORMATION DES INTERNES EN MÉDECINE GÉNÉRALE
15 novembre 2022,5481.0,SOUTIEN AUX ÉDILES  VICTIMES D’AGRESSION,,SUITE DE LA DISCUSSION ET ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
18 novembre 2022,5761.0,LOI DE FINANCES POUR 2023,Après l’article 3,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5787.0,LOI DE FINANCES POUR 2023,Après l’article 3 bis,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
