Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,8.0,CRISE DU LOGEMENT QUE CONNAÎT NOTRE PAYS ET MANQUE D’AMBITION DE LA POLITIQUE DE LA VILLE,,
04 janvier 2022,63.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME EN FRANCE,,
05 janvier 2022,125.0,DÉFENSE EXTÉRIEURE CONTRE L’INCENDIE : ASSURER LA PROTECTION DES PERSONNES SANS NUIRE AUX TERRITOIRES,,
25 janvier 2022,920.0,QUESTIONS ORALES,,
01 février 2022,1215.0,QUELLE POLITIQUE FERROVIAIRE  POUR ASSURER UN MAILLAGE ÉQUILIBRÉ  DU TERRITOIRE ?,,
17 février 2022,1836.0,COMPÉTENCES DE LA COLLECTIVITÉ EUROPÉENNE D’ALSACE,,ADOPTION DÉFINITIVE EN DEUXIÈME LECTURE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
17 février 2022,1837.0,COMPÉTENCES DE LA COLLECTIVITÉ EUROPÉENNE D’ALSACE,,ADOPTION DÉFINITIVE EN DEUXIÈME LECTURE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
17 février 2022,1844.0,COMPÉTENCES DE LA COLLECTIVITÉ EUROPÉENNE D’ALSACE,Article 1er bis A (Suppression maintenue),PROJET DE LOI RATIFIANT LES ORDONNANCES PRISES SUR LE FONDEMENT DE L’ARTICLE
17 février 2022,1847.0,COMPÉTENCES DE LA COLLECTIVITÉ EUROPÉENNE D’ALSACE,Article 1er septdecies (Non modifié),PROJET DE LOI RATIFIANT LES ORDONNANCES PRISES SUR LE FONDEMENT DE L’ARTICLE
17 février 2022,1848.0,COMPÉTENCES DE LA COLLECTIVITÉ EUROPÉENNE D’ALSACE,Après l’article 1er septdecies,PROJET DE LOI RATIFIANT LES ORDONNANCES PRISES SUR LE FONDEMENT DE L’ARTICLE
17 février 2022,1851.0,COMPÉTENCES DE LA COLLECTIVITÉ EUROPÉENNE D’ALSACE,Article 5 (Non modifié),PROJET DE LOI RATIFIANT LES ORDONNANCES PRISES SUR LE FONDEMENT DE L’ARTICLE
22 février 2022,1936.0,IMPLANTATION DE PANNEAUX PHOTOVOLTAÏQUES  SUR DES SITES DÉGRADÉS,Article unique,PROPOSITION DE LOI VISANT À PERMETTRE L’IMPLANTATION DE PANNEAUX PHOTOVOLTAÏQUES SUR DES FRICHES
24 février 2022,2139.0,CHOIX DU NOM ISSU DE LA FILIATION Discussion en nouvelle lecture d’une proposition de loi,,
20 juillet 2022,2425.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
01 août 2022,2948.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 2 (Supprimé) Après l’article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 août 2022,2949.0,LOI DE FINANCES RECTIFICATIVE  POUR 2022,Article 2 (Supprimé) Après l’article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 août 2022,3002.0,QUESTIONS ORALES,,
02 août 2022,3003.0,QUESTIONS ORALES,,
02 août 2022,3243.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Après l’article 9 A,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3244.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Après l’article 9 A,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3247.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Après l’article 9,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
04 octobre 2022,3467.0,"PRISE EN COMPTE DES TERRITOIRES, DES SAVOIR-FAIRE ET DES CULTURES DANS L’ÉLABORATION  DE RÉGLEMENTATIONS EUROPÉENNES D’HARMONISATION Débat organisé à la demande  de la commission des affaires européennes",,
04 octobre 2022,3468.0,"PRISE EN COMPTE DES TERRITOIRES, DES SAVOIR-FAIRE ET DES CULTURES DANS L’ÉLABORATION  DE RÉGLEMENTATIONS EUROPÉENNES D’HARMONISATION Débat organisé à la demande  de la commission des affaires européennes",,
22 novembre 2022,6289.0,LOI DE FINANCES POUR 2023,Après l’article 8 quinquies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6343.0,LOI DE FINANCES POUR 2023,Après l’article 9 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6368.0,LOI DE FINANCES POUR 2023,Après l’article 9 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6370.0,LOI DE FINANCES POUR 2023,Après l’article 9 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6379.0,LOI DE FINANCES POUR 2023,Après l’article 9 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6380.0,LOI DE FINANCES POUR 2023,Après l’article 9 quater,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
24 novembre 2022,6586.0,LOI DE FINANCES POUR 2023,Article 15,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
24 novembre 2022,6587.0,LOI DE FINANCES POUR 2023,Article 15,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
29 novembre 2022,7082.0,QUESTIONS ORALES,,
30 novembre 2022,7290.0,LOI DE FINANCES POUR 2023,Article 45,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7323.0,LOI DE FINANCES POUR 2023,Après l’article 45 bis,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7353.0,LOI DE FINANCES POUR 2023,Après l’article 46,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
30 novembre 2022,7398.0,LOI DE FINANCES POUR 2023,Après l’article 46,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
03 novembre 2022,4498.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,"MESURES VISANT À RENFORCER LA PLANIFICATION TERRITORIALE DU DÉVELOPPEMENT DES ÉNERGIES RENOUVELABLES, À AMÉLIORER LA CONCERTATION AUTOUR DE CES PROJETS ET À FAVORISER LA PARTICIPATION DES COLLECTIVITÉS TERRITORIALES  À LEUR IMPLANTATION  (Division nouvelle) Article 1er A  (nouveau)",PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
03 novembre 2022,4514.0,PRODUCTION D’ÉNERGIES RENOUVELABLES,Article 3  (priorité),PROJET DE LOI RELATIF À L’ACCÉLÉRATION DE LA PRODUCTION D’ÉNERGIES RENOUVELABLES TITRE IER
01 décembre 2022,7539.0,LOI DE FINANCES POUR 2023,Article 44 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7542.0,LOI DE FINANCES POUR 2023,Article 44 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7548.0,LOI DE FINANCES POUR 2023,Article 44 sexies (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7590.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7591.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7647.0,LOI DE FINANCES POUR 2023,Après l’article 41 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
02 décembre 2022,7648.0,LOI DE FINANCES POUR 2023,Après l’article 41 ter,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
13 décembre 2022,8305.0,ADAPTATION AU DROIT  DE L’UNION EUROPÉENNE  DANS DIVERS DOMAINES,,DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
