Date_seances,Num_page,Titre,Texte,Thème
04 janvier 2022,53.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME EN FRANCE,,
01 février 2022,1212.0,QUELLE POLITIQUE FERROVIAIRE  POUR ASSURER UN MAILLAGE ÉQUILIBRÉ  DU TERRITOIRE ?,,
01 février 2022,1217.0,QUELLE POLITIQUE FERROVIAIRE  POUR ASSURER UN MAILLAGE ÉQUILIBRÉ  DU TERRITOIRE ?,,
01 février 2022,1223.0,DÉBAT SUR LE SUIVI DES ORDONNANCES,,
17 février 2022,1851.0,COMPÉTENCES DE LA COLLECTIVITÉ EUROPÉENNE D’ALSACE,Article 5 (Non modifié),PROJET DE LOI RATIFIANT LES ORDONNANCES PRISES SUR LE FONDEMENT DE L’ARTICLE
17 février 2022,1893.0,ACCÈS DES EXPERTS FORESTIERS  AUX DONNÉES CADASTRALES,Article 8 (Supprimé) Article 9,ADOPTION DÉFINITIVE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
22 février 2022,1938.0,IMPLANTATION DE PANNEAUX PHOTOVOLTAÏQUES  SUR DES SITES DÉGRADÉS,Article unique,PROPOSITION DE LOI VISANT À PERMETTRE L’IMPLANTATION DE PANNEAUX PHOTOVOLTAÏQUES SUR DES FRICHES
20 octobre 2022,4113.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME,Article 3,ADOPTION D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION MODIFIÉ
20 octobre 2022,4131.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME,Article unique,PROPOSITION DE LOI EN FAVEUR DU DÉVELOPPEMENT DE L’AGRIVOLTAÏSME
20 octobre 2022,4133.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME,Article unique,PROPOSITION DE LOI EN FAVEUR DU DÉVELOPPEMENT DE L’AGRIVOLTAÏSME
20 octobre 2022,4142.0,DÉVELOPPEMENT DE L’AGRIVOLTAÏSME,Article unique,PROPOSITION DE LOI EN FAVEUR DU DÉVELOPPEMENT DE L’AGRIVOLTAÏSME
