Date_seances,Num_page,Titre,Texte,Thème
25 janvier 2022,922.0,QUESTIONS ORALES,,
25 janvier 2022,923.0,QUESTIONS ORALES,,
23 février 2022,2039.0,ENGAGEMENT DE LA FRANCE AU SAHEL,,
23 février 2022,2054.0,ENGAGEMENT DE LA FRANCE AU SAHEL,,
06 juillet 2022,2248.0,POLITIQUE GÉNÉRALE,,
21 juillet 2022,2514.0,ADHÉSION DE LA FINLANDE  ET DE LA SUÈDE À L’OTAN,,ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
25 octobre 2022,4171.0,QUESTIONS ORALES,,
25 octobre 2022,4172.0,QUESTIONS ORALES,,
26 octobre 2022,4295.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
26 octobre 2022,4296.0,QUESTIONS D’ACTUALITÉ  AU GOUVERNEMENT,,
05 décembre 2022,7837.0,LOI DE FINANCES POUR 2023,Articles non rattachés,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7889.0,LOI DE FINANCES POUR 2023,Après l’article 41 A,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7899.0,LOI DE FINANCES POUR 2023,Après l’article 41 A,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
05 décembre 2022,7905.0,LOI DE FINANCES POUR 2023,Après l’article 41 D,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
