Date_seances,Num_page,Titre,Texte,Thème
15 février 2022,1743.0,MISE AU POINT AU SUJET D’UN VOTE,Article 4,ADOPTION DÉFINITIVE EN PROCÉDURE ACCÉLÉRÉE D’UNE PROPOSITION DE LOI DANS LE TEXTE DE LA COMMISSION
28 juillet 2022,2705.0,MESURES D’URGENCE POUR LA PROTECTION DU POUVOIR D’ACHAT,Article 6,SUITE DE LA DISCUSSION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
04 octobre 2022,3476.0,ABYSSES : LA DERNIÈRE FRONTIÈRE ? Débat sur les conclusions du rapport  d’une mission d’information,,
06 octobre 2022,3592.0,QUESTIONS ORALES,,
06 octobre 2022,3593.0,QUESTIONS ORALES,,
10 novembre 2022,5184.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 24 quater  (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
10 novembre 2022,5189.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 25,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
10 novembre 2022,5210.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 26,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
10 novembre 2022,5213.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 27,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
10 novembre 2022,5249.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 31,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
12 novembre 2022,5357.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Article 44,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5711.0,LOI DE FINANCES POUR 2023,Article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5712.0,LOI DE FINANCES POUR 2023,Article 2,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5748.0,LOI DE FINANCES POUR 2023,Après l’article 3,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5816.0,LOI DE FINANCES POUR 2023,Après l’article 3 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
18 novembre 2022,5819.0,LOI DE FINANCES POUR 2023,Après l’article 3 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
22 novembre 2022,6265.0,LOI DE FINANCES POUR 2023,(suite) Après l’article 8 ter  (suite),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
24 novembre 2022,6714.0,LOI DE FINANCES POUR 2023,Article 51  (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6881.0,LOI DE FINANCES POUR 2023,Article 41 B (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
25 novembre 2022,6882.0,LOI DE FINANCES POUR 2023,Article 41 B (nouveau),SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7461.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7476.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
01 décembre 2022,7491.0,LOI DE FINANCES POUR 2023,,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
